标准化机构名称,机构类型,分类依据,关联文献数,涉及阶段数,是否Top100,TOPSIS综合排名,TOPSIS综合得分,机构层级
中国石油冀东油田公司开发技术公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油冀东油田公司生产运行处,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油冀东油田公司钻采工艺研究院,企业研发中心,企业关键词:公司,9,1,0,,,
中国石油冀东油田公司陆上作业区,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油冀东油田公司陆上油田作业区,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油冀东油田公司陆上油田作业区工艺研究所,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油冀东油田分公司,企业研发中心,企业关键词:公司,56,2,0,,,
中国石油冀东油田分公司南堡油田作业区,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油冀东油田分公司开发技术公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油冀东油田勘探处,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油冀东油田勘探开发研究院,企业研发中心,企业关键词:油田,8,2,0,,,
中国石油冀东油田南堡作业区,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油冀东油田南堡油田作业区,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油冀东油田钻采工艺研究院,企业研发中心,企业关键词:油田,2,1,0,,,
中国石油冀东油田陆上油田作业区,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油勘探与生产公司,企业研发中心,企业关键词:公司,25,1,0,,,
中国石油勘探与生产分公司,企业研发中心,企业关键词:公司,29,1,0,,,
中国石油勘探天然气开发公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油勘探开发公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油勘探开发研究院,企业研发机构,企业标记:中国石油,1222,3,1,93,0.120533,特色细分型
中国石油勘探开发科学研究院廊坊分院,高校/科研院所,高校科研关键词:研究院,3,1,0,,,
中国石油勘探生产公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油化学昆山公司技术开发中心,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工公司有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工科技开发有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工管理干部学院,高校/科研院所,高校强特征:学院,1,1,0,,,
中国石油化工股份公司华北分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份公司石油工程技术研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司,企业研发机构,企业标记:中国石油,4476,3,1,3,0.552094,头部引领型
中国石油化工股份有限公司 西北油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司上海海洋油气分公司,企业研发中心,企业关键词:公司,5,1,0,,,
中国石油化工股份有限公司中原油田勘探开发科,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司中原石油勘探局地球物理勘探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司信息系,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司北京北化院燕山分院,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油化工股份有限公司华东石油局第六物探大队,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司华北油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司发展计划部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司国际石油勘探开发公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司大庆油田有限责任公司采油一厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司有机原料科,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司江汉石油管理局物探处,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司河南石油勘探局物探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司油品销售事业部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司泰州石油化工有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司湛江东兴石油化工有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司炼油事业部,企业研发中心,企业关键词:公司,6,1,0,,,
中国石油化工股份有限公司生产经营管理部,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油化工股份有限公司石油勘探开发研究,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司石油勘探开发研究院,企业研发中心,企业关键词:公司,230,2,0,,,
中国石油化工股份有限公司石油化工科,企业研发中心,企业关键词:公司,7,1,0,,,
中国石油化工股份有限公司石油化工科学研究院,企业研发中心,企业关键词:公司,118,3,0,,,
中国石油化工股份有限公司石油工程地球物理有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司石油工程管理部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司科,企业研发中心,企业关键词:公司,9,1,0,,,
中国石油化工股份有限公司胜利石油工程有限公司测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司胜利石油管理局地球物理勘探开发公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司西北分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司西南分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司西南石油局第二物探大队,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司西南石油局第五物探大队,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工股份有限公司青岛炼化公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工西北油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团中原油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司,企业研发中心,企业关键词:公司,9,1,0,,,
中国石油化工集团公司中原石油勘探局地球物理勘探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司企业改革管理部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司办公厅,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油化工集团公司华东石油局工程院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司华东石油局测井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司华北石油局五普钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司华北石油局地球物理勘探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司发展计划部,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油化工集团公司国际石油勘探开发有限公司,企业研发中心,企业关键词:公司,4,1,0,,,
中国石油化工集团公司国际石油勘探开发有限公司缅甸公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司国际石油工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司地球物理公司中原分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司地球物理公司胜利分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司地球物理重点实验室,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司外事局,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司多波地震重点实验室,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司油气成藏重点实验室,企业研发中心,企业关键词:公司,12,1,0,,,
中国石油化工集团公司石油工程地球物理有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司石油工程地球物理有限公司江汉分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司石油工程地球物理有限公司河南分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司石油工程地球物理有限公司胜利分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司石油工程技术服务有限公司测录井事业部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司经济技术研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司胜利油田钻井工艺研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司胜利石油管理局地球物理勘探开发公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油化工集团公司胜利石油管理局测井公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油化工集团公司胜利石油管理局物探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司胜利石油管理局物探研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司胜利石油管理局钻井工艺研究院,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油化工集团公司西北油田分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司西南石油局,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油化工集团公司西南石油局四川钻井公司物资装备部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团公司西南石油局第二物探大队,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油化工集团公司西南石油工程有限公司井下作业分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团华北分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团国际石油勘探开发有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团国际石油工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团股份有限公司勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油化工集团西南石油局,企业研发中心,企业关键词:集团,1,1,0,,,
中国石油北京天然气管道有限公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油北京油气调控中心,其他,未命中规则,5,1,0,,,
中国石油北京销售公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北分油田公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油华北油田公司,企业研发中心,企业关键词:公司,40,1,0,,,
中国石油华北油田公司二连公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田公司二连分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油华北油田公司勘探开发研究院,企业研发中心,企业关键词:公司,27,1,0,,,
中国石油华北油田公司勘探部,企业研发中心,企业关键词:公司,8,1,0,,,
中国石油华北油田公司北京技术中心,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田公司华隆服务处,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油华北油田公司地球物理勘探研究院,企业研发中心,企业关键词:公司,31,1,0,,,
中国石油华北油田公司对外合作部,企业研发中心,企业关键词:公司,4,1,0,,,
中国石油华北油田公司山西煤层气勘探开发分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田公司开发部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田公司技术监督检验处,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田公司新能源部,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油华北油田公司第一采油厂,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油华北油田公司第三采油厂,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油华北油田公司第二采油厂,企业研发中心,企业关键词:公司,12,1,0,,,
中国石油华北油田公司第四采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田公司采油五厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田公司采油四厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田公司采油工程研究院,企业研发中心,企业关键词:公司,4,1,0,,,
中国石油华北油田公司采油工艺研究院,企业研发中心,企业关键词:公司,9,1,0,,,
中国石油华北油田分公司,企业研发中心,企业关键词:公司,84,2,0,,,
中国石油华北油田分公司勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田勘探开发研究院,企业研发中心,企业关键词:油田,8,1,0,,,
中国石油华北油田勘探院,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油华北油田地球物理勘探研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油华北油田山西煤层气勘探开发分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北油田煤层气勘探开发分公司,企业研发中心,企业关键词:公司,9,1,0,,,
中国石油华北油田第一采油厂,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油华北油田第二采油厂,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油华北油田苏里格院,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油华北油田采油工程研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油华北油田采油工艺研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油华北石化公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油华北石化分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油南方石油勘探开发公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油南方石油勘探开发有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油南方石油勘探开发有限责任公司,企业研发中心,企业关键词:公司,6,1,0,,,
中国石油南方石油勘探开发有限责任公司勘探开发研究中心,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油厄瓜多尔安第斯公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田乾大综合服务公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田公司,企业研发中心,企业关键词:公司,42,3,0,,,
中国石油吉林油田公司乾安采油厂,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油吉林油田公司勘探开发研究院,企业研发中心,企业关键词:公司,17,1,0,,,
中国石油吉林油田公司基建工程处,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田公司扶余采油厂,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油吉林油田公司新木采油厂,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油吉林油田公司新民采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田公司松原采气厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田公司油气合作开发公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田公司油藏评价部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田公司科,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田公司英台采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田公司试采公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田公司采油工艺研究院,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油吉林油田公司钻井工艺研究院,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油吉林油田分公司,企业研发中心,企业关键词:公司,36,2,0,,,
中国石油吉林油田分公司采油工艺研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林油田勘探开发研究院,企业研发中心,企业关键词:油田,5,1,0,,,
中国石油吉林油田地球物理勘探研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油吉林石化公司研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吉林石化分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油吐哈油田井下技术作业公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油吐哈油田公司,企业研发中心,企业关键词:公司,29,2,0,,,
中国石油吐哈油田公司三塘湖采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司丘东采油厂,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油吐哈油田公司井下技术作业公司,企业研发中心,企业关键词:公司,4,1,0,,,
中国石油吐哈油田公司井下技术作业公司测试二队,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司信息产业处,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司勘探事业部,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油吐哈油田公司勘探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司勘探开发研究院,企业研发中心,企业关键词:公司,16,1,0,,,
中国石油吐哈油田公司勘探部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司博士后工作站,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司吐鲁番采油厂,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油吐哈油田公司工程技术研究院,企业研发中心,企业关键词:公司,4,1,0,,,
中国石油吐哈油田公司开发部,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油吐哈油田公司温米采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司鄯善采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司采油工程研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油吐哈油田公司鲁克沁采油厂,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油吐哈油田分公司,企业研发中心,企业关键词:公司,64,2,0,,,
中国石油吐哈油田勘探开发研究院,企业研发中心,企业关键词:油田,4,1,0,,,
中国石油吐哈油田吐鲁番采油厂,企业研发中心,企业关键词:油田,3,1,0,,,
中国石油吐哈油田工程技术研究院,企业研发中心,企业关键词:油田,2,1,0,,,
中国石油呼和浩特石化公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油呼和浩特石化公司项目经理部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油咨询中心,其他,未命中规则,1,1,0,,,
中国石油哈尔滨石化公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油哈尔滨石化公司三催化车间,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油哈尔滨石化公司重整车间,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油哈萨克斯坦公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油哈萨克斯坦公司皮开项目普克克拉公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油哈萨克斯坦公司皮开项目钻井部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油四川泸州销售分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油四川石化公司生产二部,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油四川石化分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油四川石化南充炼油厂,企业研发中心,企业关键词:石化,2,1,0,,,
中国石油四川石化有限责任公司,企业研发中心,企业关键词:公司,8,1,0,,,
中国石油四川石化有限责任公司生产一部,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油国际有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油土库曼斯坦阿姆河天然气公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油塔里木油田公司,企业研发中心,企业关键词:公司,372,3,0,,,
中国石油塔里木油田公司勘探开发研究院,企业研发中心,企业关键词:公司,83,1,0,,,
中国石油塔里木油田公司勘探开发部,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油塔里木油田公司博士后工作站,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司博士后科,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司塔中勘探开发项目经理部,企业研发中心,企业关键词:公司,4,1,0,,,
中国石油塔里木油田公司塔中项目经理部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司塔北勘探开发项目经理部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司塔西南公司柯克亚作业区,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司塔西南勘探开发公司油气开发部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司天然气事业部,企业研发中心,企业关键词:公司,9,1,0,,,
中国石油塔里木油田公司对外合作处,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司工程技术部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司库车勘探开发项目经理部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司开发事业部,企业研发中心,企业关键词:公司,7,1,0,,,
中国石油塔里木油田公司技术发展处,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司概预算管理部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司油气工程研究院,企业研发中心,企业关键词:公司,7,1,0,,,
中国石油塔里木油田公司油气运销部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田公司研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田分公司,企业研发中心,企业关键词:公司,217,2,0,,,
中国石油塔里木油田分公司勘探开发研究院,企业研发中心,企业关键词:公司,2,2,0,,,
中国石油塔里木油田勘探开发研究院,企业研发中心,企业关键词:油田,16,1,0,,,
中国石油塔里木油田勘探开发部,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油塔里木油田博士后科,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油塔里木油田塔西南勘探开发公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木油田研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中国石油塔里木石油公司开发事业部轮南作业区,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油塔里木石油勘探开发指挥部第二勘探公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大学,高校/科研院所,高校强特征:大学,656,2,0,,,
中国石油大学 山东省高校新能源物理与材料科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国石油大学(北京),高校/科研院所,高校强特征:大学,8077,3,1,2,0.756481,头部引领型
中国石油大学(华东),高校/科研院所,高校强特征:大学,3255,3,1,7,0.333977,头部引领型
中国石油大学博士后科,高校/科研院所,高校强特征:大学,7,1,0,,,
中国石油大学国家大学科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国石油大学地球科,高校/科研院所,高校强特征:大学,836,1,0,,,
中国石油大学山东省高校新能源物理与材料科,高校/科研院所,高校强特征:大学,4,1,0,,,
中国石油大学山东石大科,高校/科研院所,高校强特征:大学,2,1,0,,,
中国石油大学数学与计算科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国石油大学材料科,高校/科研院所,高校强特征:大学,2,1,0,,,
中国石油大学物理科,高校/科研院所,高校强特征:大学,5,1,0,,,
中国石油大学环境科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国石油大学石大科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国石油大学计算机科,高校/科研院所,高校强特征:大学,1,1,0,,,
中国石油大庆化工研究中心,高校/科研院所,高校科研关键词:研究中心,5,1,0,,,
中国石油大庆塔木察格有限责任公司,企业研发中心,企业关键词:公司,4,1,0,,,
中国石油大庆榆树林油田有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田井下作业分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田井下分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田公司,企业研发中心,企业关键词:公司,4,1,0,,,
中国石油大庆油田公司勘探开发研究院,企业研发中心,企业关键词:公司,16,1,0,,,
中国石油大庆油田公司勘探部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田公司海拉尔石油勘探开发指挥部,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田公司第一采油厂,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油大庆油田公司第三采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田公司第九采油厂,企业研发中心,企业关键词:公司,4,1,0,,,
中国石油大庆油田公司第八采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田公司第六采油厂,企业研发中心,企业关键词:公司,5,1,0,,,
中国石油大庆油田公司第四采油厂,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油大庆油田公司采油六厂,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油大庆油田公司采油工程研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田分公司,企业研发中心,企业关键词:公司,16,1,0,,,
中国石油大庆油田分公司第十采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田创业集团井下作业分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田力神泵业有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田勘探开发研究院,企业研发中心,企业关键词:油田,16,2,0,,,
中国石油大庆油田天宇工程设计有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田工程有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限公司勘探开发研究院,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油大庆油田有限公司呼伦贝尔分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限公司第五采油厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限公司采油五厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限公司采油八厂,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司,企业研发中心,企业关键词:公司,17,2,0,,,
中国石油大庆油田有限责任公司 勘探开发研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司井下作业分公司,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油大庆油田有限责任公司勘探事业部,企业研发中心,企业关键词:公司,5,1,0,,,
中国石油大庆油田有限责任公司勘探分公司,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油大庆油田有限责任公司勘探开发研究院,企业研发中心,企业关键词:公司,97,1,0,,,
中国石油大庆油田有限责任公司化工集团轻烃分馏分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司地球物理物探一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司地质大队,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司大庆职业学院,高校/科研院所,高校强特征:学院,1,1,0,,,
中国石油大庆油田有限责任公司头台油田开发有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司测试技术分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司测试技术服务分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司海拉尔石油勘探开发指挥部,企业研发中心,企业关键词:公司,2,1,0,,,
中国石油大庆油田有限责任公司海拉尔石油勘探开发指挥部开发技术中心,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司物探研究所,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司第一采油厂,企业研发中心,企业关键词:公司,14,1,0,,,
中国石油大庆油田有限责任公司第七采油厂,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油大庆油田有限责任公司第三采油厂,企业研发中心,企业关键词:公司,3,1,0,,,
中国石油大庆油田有限责任公司第九采油厂,企业研发中心,企业关键词:公司,9,1,0,,,
中国石油大庆油田有限责任公司第二采油厂,企业研发中心,企业关键词:公司,8,1,0,,,
中国石油大庆油田有限责任公司第五采油厂,企业研发中心,企业关键词:公司,6,1,0,,,
中国石油大庆油田有限责任公司第八采油厂,企业研发中心,企业关键词:公司,7,1,0,,,
中国石油大庆油田有限责任公司第六采油厂,企业研发中心,企业关键词:公司,6,1,0,,,
中国石油大庆油田有限责任公司第四采油厂,企业研发中心,企业关键词:公司,5,1,0,,,
中国石油大庆油田有限责任公司装备制造研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中国石油大庆油田有限责任公司试油试采分公司,企业研发中心,企业关键词:公司,1,1,0,,,
