标准化机构名称,机构类型,分类依据,关联文献数,涉及阶段数,是否Top100,TOPSIS综合排名,TOPSIS综合得分,机构层级
东华理工大学,高校/科研院所,高校强特征:大学,63,3,0,,,
东华理工大学化学生物与材料科,高校/科研院所,高校强特征:大学,1,1,0,,,
东华理工大学地球科,高校/科研院所,高校强特征:大学,4,1,0,,,
东华理工大学放射性地质与勘探技术国防重点学科,高校/科研院所,高校强特征:大学,2,1,0,,,
东华理工大学核资源与环境国家重点实验室,高校/科研院所,高校强特征:大学,1,1,0,,,
东南大学,高校/科研院所,高校强特征:大学,340,3,1,47,0.195116,中坚创新型
东南挪威大学,高校/科研院所,高校强特征:大学,2,1,0,,,
东国大学,高校/科研院所,高校强特征:大学,16,3,0,,,
东安格利亚大学,高校/科研院所,高校强特征:大学,9,2,0,,,
东巴黎大学,高校/科研院所,高校强特征:大学,9,3,0,,,
东方公司装备服务处,企业研发中心,企业关键词:公司,1,1,0,,,
东方公司长庆物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司,企业研发中心,企业关键词:公司,19,1,0,,,
东方地球物理公司信息技术中心,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司北京中油瑞飞,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司华北物探处,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理公司吐哈物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司国际勘探事业部,企业研发中心,企业关键词:公司,10,1,0,,,
东方地球物理公司塔里木物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司大港分院,企业研发中心,企业关键词:公司,2,1,0,,,
东方地球物理公司大港物探处,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理公司市场开发处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司新兴物探开发处,企业研发中心,企业关键词:公司,14,1,0,,,
东方地球物理公司新疆地质调查处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司油藏地球物理中心,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司油藏地球物理研究中心,企业研发中心,企业关键词:公司,11,2,0,,,
东方地球物理公司海上勘探事业部,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理公司物探技术研发中心,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司物探技术研究中心,企业研发中心,企业关键词:公司,33,2,0,,,
东方地球物理公司物探职业教育学校,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司物资供应中心,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司石油物探学校,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司石油物探职业教育学校,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理公司研究院,企业研发中心,企业关键词:公司,89,1,0,,,
东方地球物理公司研究院油气评价开发研究所,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司研究院资料处理中心,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司科,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司综合物化探事业部,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司综合物化探处,企业研发中心,企业关键词:公司,7,1,0,,,
东方地球物理公司装备服务处,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理公司采集技术支持部,企业研发中心,企业关键词:公司,7,1,0,,,
东方地球物理公司采集支持部,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司长庆物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司青海物探公司敦煌研究分院,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理公司青海物探处,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理勘探公司大港物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理勘探公司辽河物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理勘探有限责任公司,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理勘探有限责任公司华北物探处,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理勘探有限责任公司塔里木经理部,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理勘探有限责任公司敦煌经理部,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理勘探有限责任公司研究院,企业研发中心,企业关键词:公司,3,1,0,,,
东方地球物理勘探有限责任公司辽河分公司,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理勘探有限责任公司辽河物探分公司,企业研发中心,企业关键词:公司,1,1,0,,,
东方地球物理勘探责任有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
东方物探公司研究院,企业研发中心,企业关键词:公司,1,1,0,,,
东海大学,高校/科研院所,高校强特征:大学,16,3,0,,,
东胜精攻石油开发集团股份有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
东芬兰大学,高校/科研院所,高校强特征:大学,13,3,0,,,
东莞理工学院,高校/科研院所,高校强特征:学院,37,3,0,,,
东部理工学院,高校/科研院所,高校强特征:学院,32,1,0,,,
东风康明斯发动机有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中东科技大学,高校/科研院所,高校强特征:大学,69,3,0,,,
中交第一公路勘察设计研究院,高校/科研院所,高校科研关键词:研究院,1,1,0,,,
中交铁道勘察设计院有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中京工程设计软件技术有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中佛罗里达大学,高校/科研院所,高校强特征:大学,9,3,0,,,
中信石油技术开发有限公司,企业研发中心,企业关键词:公司,3,1,0,,,
中兵勘察设计研究院,高校/科研院所,高校科研关键词:研究院,2,1,0,,,
中冶东方工程技术有限公司,企业研发中心,企业关键词:公司,2,1,0,,,
中冶京城装备技术有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中化哥伦比亚绿宝石能源公司,企业研发中心,企业关键词:公司,1,1,0,,,
中化地质矿山总局地质研究院,高校/科研院所,高校科研关键词:研究院,2,1,0,,,
中化泉州石化有限公司,企业研发中心,企业关键词:公司,14,1,0,,,
中化石油勘探开发公司,企业研发中心,企业关键词:公司,1,1,0,,,
中化石油勘探开发有限公司,企业研发中心,企业关键词:公司,14,1,0,,,
中化石油有限公司辽宁分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中化集团泉州石化有限公司,企业研发中心,企业关键词:公司,1,1,0,,,
中北大学,高校/科研院所,高校强特征:大学,56,3,0,,,
中南大学,高校/科研院所,高校强特征:大学,393,3,1,52,0.189116,特色细分型
中南大学地球科,高校/科研院所,高校强特征:大学,11,1,0,,,
中南林业科技大学,高校/科研院所,高校强特征:大学,21,2,0,,,
中南民族大学,高校/科研院所,高校强特征:大学,27,3,0,,,
中南民族大学化学与材料科,高校/科研院所,高校强特征:大学,1,1,0,,,
中原塔里木钻井公司,企业研发中心,企业关键词:公司,3,1,0,,,
中原大学,高校/科研院所,高校强特征:大学,22,3,0,,,
中原工学院,高校/科研院所,高校强特征:学院,13,3,0,,,
中原工程公司井下特种作业公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原工程公司地球物理测井公司解释计算中心,企业研发中心,企业关键词:公司,1,1,0,,,
中原工程公司塔里木分公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田中原塔里木钻井公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田井下特种作业公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田井下特种作业处,企业研发中心,企业关键词:油田,14,1,0,,,
中原油田供水管理处,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田公司采油一厂,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田公司采油三厂,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田公司采油五厂,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田公司采油四厂,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田公司采油工程技术研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田公司采油工程研究院,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田公安局交通管理处,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田内蒙采油事业部,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田分公司,企业研发中心,企业关键词:公司,55,1,0,,,
中原油田勘察设计研究院,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田勘探局,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田勘探局钻井一公司,企业研发中心,企业关键词:公司,1,1,0,,,
中原油田勘探开发研究院,企业研发中心,企业关键词:油田,5,1,0,,,
中原油田勘探开发科,企业研发中心,企业关键词:油田,9,1,0,,,
中原油田勘探研究设计院,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田勘探管理部,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田博士后科,企业研发中心,企业关键词:油田,1,1,0,,,
中原油田固井工程处,企业研发中心,企业关键词:油田,2,1,0,,,
