阶段,年份范围,阶段文献数,有摘要文献数,英文摘要文献数,中文摘要文献数,通过领域过滤文献数,进入建模文献数,平均有效词数,词汇表规模
2011-2015,2011-2015,116302,115396,91893,23503,43635,43625,79.2167,5000
2016-2020,2016-2020,84223,82999,82772,227,28837,28835,103.661,5000
2021-2025,2021-2025,110796,109752,109749,3,31168,31167,116.2517,5000
