阶段,阶段内排序,词项,总词频,文献频次,词云权重,进入词频统计文献数
2016-2020,23,颗粒,5844,2461,0.168532,28845
2016-2020,24,钻井,5637,2491,0.162562,28845
2016-2020,25,砂岩,5588,2187,0.161149,28845
2016-2020,26,水力压裂,5565,1822,0.160486,28845
2016-2020,27,区带,5562,2595,0.160399,28845
2016-2020,28,驱替,5458,2105,0.1574,28845
2016-2020,29,碳酸盐岩,5306,2272,0.153016,28845
2016-2020,30,效率,4912,3243,0.141654,28845
2016-2020,31,液相,4815,2500,0.138857,28845
2016-2020,32,热采,4735,2581,0.13655,28845
2016-2020,33,产品,4642,2740,0.133868,28845
2016-2020,34,模拟,4591,2972,0.132397,28845
2016-2020,35,勘探,4549,2787,0.131186,28845
2016-2020,36,化学,4351,3043,0.125476,28845
2016-2020,37,矿物,4350,2072,0.125447,28845
2016-2020,38,应力,4182,1562,0.120602,28845
2016-2020,39,砂体,4160,1682,0.119968,28845
2016-2020,40,收率,4141,2373,0.11942,28845
2016-2020,41,页岩气,4129,1379,0.119074,28845
2016-2020,42,组成,3979,2787,0.114748,28845
2016-2020,43,成藏,3965,1936,0.114344,28845
2016-2020,44,活性,3854,2437,0.111143,28845
2016-2020,45,密度,3745,2331,0.108,28845
2016-2020,46,演化,3696,2350,0.106587,28845
2016-2020,47,河道,3568,1439,0.102895,28845
2016-2020,48,有机质,3511,1842,0.101252,28845
2016-2020,49,聚合物,3485,1234,0.100502,28845
2016-2020,50,黏度,3433,1608,0.099002,28845
2016-2020,51,生成,3396,2005,0.097935,28845
2016-2020,52,燃烧,3391,1220,0.097791,28845
2016-2020,53,转化,3335,2042,0.096176,28845
2016-2020,54,速度,3332,1506,0.09609,28845
2016-2020,55,稳定性,3307,2177,0.095369,28845
2016-2020,56,预测,3270,2045,0.094302,28845
2016-2020,57,埋深,3266,1967,0.094186,28845
2016-2020,58,水平,3251,1651,0.093754,28845
2016-2020,59,运移,3202,1674,0.092341,28845
2016-2020,60,三角洲,3185,1190,0.09185,28845
2016-2020,61,评价,3180,2069,0.091706,28845
2016-2020,62,油田,3136,1815,0.090437,28845
2016-2020,63,行为,3113,2174,0.089774,28845
2016-2020,64,热解,3074,1195,0.088649,28845
2016-2020,65,建立,3064,2687,0.088361,28845
2016-2020,66,催化,3047,1753,0.087871,28845
2016-2020,67,测井,3017,1755,0.087005,28845
2016-2020,68,稠油,2981,1455,0.085967,28845
2016-2020,69,表面活性剂,2981,842,0.085967,28845
2016-2020,70,富集,2977,1869,0.085852,28845
2016-2020,71,饱和度,2898,1401,0.083574,28845
