阶段,机构层级,主题编号,主题标签,主题论文数,机构层级文献总数,主题占比
2016-2020,特色细分型,T06,催化剂 / 构造 / 活性 / 催化,796,6373,0.124902
2016-2020,特色细分型,T07,岩石 / 表面活性剂 / 样品 / 润湿性,234,6373,0.036717
2016-2020,特色细分型,T08,水合物 / 甲烷 / 吸附 / 实验,301,6373,0.047231
2016-2020,特色细分型,T09,储层 / 沉积 / 碳酸盐岩 / 盆地,801,6373,0.125686
2016-2020,特色细分型,T10,二氧化碳 / 采收率 / 注入 / 驱替,414,6373,0.064962
2016-2020,特色细分型,T11,产品 / 热解 / 收率 / 化合物,430,6373,0.067472
2021-2025,头部引领型,T01,构造 / 复合材料 / 材料 / 强度,576,10045,0.057342
2021-2025,头部引领型,T02,产品 / 热解 / 收率 / 化学,757,10045,0.075361
2021-2025,头部引领型,T03,页岩 / 孔隙 / 储层 / 岩石,911,10045,0.090692
2021-2025,头部引领型,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,989,10045,0.098457
2021-2025,头部引领型,T05,燃烧 / 采收率 / 注入 / 表面活性剂,703,10045,0.069985
2021-2025,头部引领型,T06,储层 / 钻井 / 预测 / 地震,1928,10045,0.191936
2021-2025,头部引领型,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,1370,10045,0.136386
2021-2025,头部引领型,T08,盆地 / 断层 / 构造 / 储层,926,10045,0.092185
2021-2025,头部引领型,T09,催化剂 / 催化 / 活性 / 位点,978,10045,0.097362
2021-2025,头部引领型,T10,二氧化碳 / 储存 / 密度 / 构造,524,10045,0.052165
2021-2025,头部引领型,T11,效率 / 电子 / 机理,383,10045,0.038128
2021-2025,中坚创新型,T01,构造 / 复合材料 / 材料 / 强度,511,6058,0.084351
2021-2025,中坚创新型,T02,产品 / 热解 / 收率 / 化学,806,6058,0.133047
2021-2025,中坚创新型,T03,页岩 / 孔隙 / 储层 / 岩石,218,6058,0.035985
2021-2025,中坚创新型,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,526,6058,0.086827
2021-2025,中坚创新型,T05,燃烧 / 采收率 / 注入 / 表面活性剂,474,6058,0.078244
2021-2025,中坚创新型,T06,储层 / 钻井 / 预测 / 地震,596,6058,0.098382
2021-2025,中坚创新型,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,893,6058,0.147408
2021-2025,中坚创新型,T08,盆地 / 断层 / 构造 / 储层,149,6058,0.024596
2021-2025,中坚创新型,T09,催化剂 / 催化 / 活性 / 位点,667,6058,0.110102
2021-2025,中坚创新型,T10,二氧化碳 / 储存 / 密度 / 构造,635,6058,0.10482
2021-2025,中坚创新型,T11,效率 / 电子 / 机理,583,6058,0.096236
2021-2025,特色细分型,T01,构造 / 复合材料 / 材料 / 强度,588,7838,0.075019
2021-2025,特色细分型,T02,产品 / 热解 / 收率 / 化学,607,7838,0.077443
2021-2025,特色细分型,T03,页岩 / 孔隙 / 储层 / 岩石,546,7838,0.069661
2021-2025,特色细分型,T04,水合物 / 二氧化碳 / 甲烷 / 颗粒,580,7838,0.073998
2021-2025,特色细分型,T05,燃烧 / 采收率 / 注入 / 表面活性剂,475,7838,0.060602
2021-2025,特色细分型,T06,储层 / 钻井 / 预测 / 地震,1146,7838,0.146211
2021-2025,特色细分型,T07,裂缝 / 孔隙 / 渗透率 / 二氧化碳,1045,7838,0.133325
2021-2025,特色细分型,T08,盆地 / 断层 / 构造 / 储层,740,7838,0.094412
2021-2025,特色细分型,T09,催化剂 / 催化 / 活性 / 位点,847,7838,0.108063
2021-2025,特色细分型,T10,二氧化碳 / 储存 / 密度 / 构造,719,7838,0.091733
2021-2025,特色细分型,T11,效率 / 电子 / 机理,545,7838,0.069533
