机构原始名称,总频次,当前机构译名,当前机构标准名,高频国别提示,来源库分布,示例原始单位串1,示例原始单位串2,示例原始单位串3,机构国别对示例
Department of Petroleum Engineering,32,系石油工程,系石油工程,China:32,CSCD:75 | CNKI:4 | CNKI|CSCD:3,"Zhang Hui, Department of Petroleum Engineering, University of Petroleum, Beijing 102249, China.; Gao Deli, Department of Petroleum Engineering, University of Petroleum, Beijing 102249, China.; Liu Tao, Department of Petroleum Engineering, University of Petroleum, Beijing 102249, China.; Tang Haixiong, CNOOC Shenzhen Branch, Shenzhen, Guangdong 518067, China.","Liu Zhisen, Department of Petroleum Engineering,Yangtze University, Jingzhou, Hubei 434023, China.; Jiang Houshun, Department of Petroleum Engineering,Yangtze University, Jingzhou, Hubei 434023, China.","Sarvestani Mohammad Taghizadeh, Department of Petroleum Engineering, Amirkabir University of Technology, Tehran, Iran.; Sola Behnam Sedaee, Institute of Petroleum Engineering, University of Tehran, Tehran, Iran.; Rashidi Fariborz, Department of Chemical Engineering, Amirkabir University of Technology, Tehran, Iran.",CNOOC Shenzhen Branch@@China || University of Petroleum@@China || Yangtze University@@China || Amirkabir University of Technology@@China || Institute of Petroleum Engineering@@China
GRI,31,格拉伊,格拉伊,China:31,WOS:77 | CSCD:56 | CNKI|CSCD:10,"[Martin del Campo, Eduardo; Romero, Rubi; Natividad, Reyna] Univ Autonoma Estado Mexico, Ctr Conjunto Invest Quim Sustentable, Fac Quim, Tolucaatlacomulco, Mexico; [Sanchez Valente, Jaime] Inst Mexicano Petr, Mexico City 07730, DF, Mexico; [Pavon, Thelma] Univ Autonoma Estado Mexico, Fac Quim, Toluca 50120, Estado Mexico, Mexico; [Mantilla, Angeles] CICATA LEGRIA, Inst Politecn Nacl, Mexico City 11500, DF, Mexico","Lu Daolin, State Key Laboratory of Petroleum Resource and Prospecting; College of Geophysics and Information Engineering in (Beijing)China University of Petroleum, Beijing 102249, China.; Di Bangrang, State Key Laboratory of Petroleum Resource and Prospecting; College of Geophysics and Information Engineering in (Beijing)China University of Petroleum, Beijing 102249, China.; Li Xiangyang, State Key Laboratory of Petroleum Resource and Prospecting; College of Geophysics and Information Engineerin","[McEniry, Joseph; O'Kiely, Padraig; Crosson, Paul] TEAGASC, AGRIC, Dunsany, Co Meath, Ireland; [Groom, Elaine] Queens Univ Belfast, QUESTOR Ctr, Belfast BT7 1NN, Antrim, North Ireland; [Groom, Elaine] Queens Univ Belfast, Sch Chem & Chem Engn, Belfast BT7 1NN, Antrim, North Ireland; [Murphy, Jerry D.] Univ Coll Cork, Cork, Ireland",CICATA LEGRIA@@Mexico || Inst Mexicano Petr@@Mexico || Univ Autonoma Estado Mexico@@Mexico || College of Geophysics and Information Engineering in (Beijing)China University of Petroleum@@China || GRI of Jilin Oilfield Company@@China || Hebei Zhuozhou Tenglongruibang Energy Technology Development Coporation Limited@@China || Queens Univ Belfast@@Ireland || TEAGASC@@Ireland || Univ Coll Cork@@Ireland
Nucl Mat Author,31,恩乌克勒材料奥斯奥尔,恩乌克勒材料奥斯奥尔,Egypt:31,WOS:32,"[Elawadi, Eslam; Mogren, Saad; Ibrahim, Elkhedr; Batayneh, Awni; Al-Bassam, Abdulaziz] King Saud Univ, Dept Geol & Geophys, Riyadh, Saudi Arabia; [Elawadi, Eslam] Nucl Mat Author, Cairo, Egypt; [Ibrahim, Elkhedr] Mansoura Univ, Dept Earth Sci, Fac Sci, Mansoura, Egypt","[Galhoum, Ahmed A.; Mahfouz, Mohammad G.; Gomaa, Nabawia A.] Nucl Mat Author, Cairo, Egypt; [Galhoum, Ahmed A.; Vincent, Thierry; Guibal, Eric] Ctr Mat Mines Ales, Ecole Mines Ales, F-30100 Ales, France; [Atia, Asem A.] Menoufia Univ, Fac Sci, Dept Chem, Shibin Al Kawm, Egypt; [Abdel-Rehem, Sayed T.] Ain Shams Univ, Fac Sci, Dept Chem, Cairo 11566, Egypt","[Mahfouz, Mohammad G.; Galhoum, Ahmed A.; Gomaa, Nabawia A.] Nucl Mat Author, Cairo, Egypt; [Galhoum, Ahmed A.; Vincent, Thierry; Guibal, Eric] Ecole Mines Ales, Ctr Mat Mines Ales, Ales, France; [Abdel-Rehem, Sayed S.] Ain Shams Univ, Fac Sci, Dept Chem, Cairo, Egypt; [Atia, Asem A.] Menoufia Univ, Fac Sci, Dept Chem, Menoufia, Egypt",King Saud Univ@@Saudi Arabia || Mansoura Univ@@Egypt || Nucl Mat Author@@Egypt || Ain Shams Univ@@Egypt || Ctr Mat Mines Ales@@France || Menoufia Univ@@Egypt || Nucl Mat Author@@Egypt || Ain Shams Univ@@Egypt || Ecole Mines Ales@@France || Menoufia Univ@@Egypt || Nucl Mat Author@@Egypt
UNL CONICET,28,乌恩勒克奥恩伊克埃特,乌恩勒克奥恩伊克埃特,Argentina:28,WOS:58,"[Cafaro, Diego C.; Cerda, Jaime] INTEC UNL CONICET, RA-3000 Santa Fe, Argentina","[Gilbert, William R.; Morgado, Edisson, Jr.; de Abreu, Marco A. S.] PETROBRAS SA CENPES, Ctr Res & Dev, BR-21941915 Rio De Janeiro, Brazil; [de la Puente, Gabriela; Passamonti, Francisco; Sedran, Ulises] UNL CONICET, FIQ, Inst Invest Catalisis & Petroquim INCAPE, RA-3000 Santa Fe, Argentina","[Del Rio, Daniel; Rey, Marilin; Sedran, Ulises; de la Puente, Gabriela] INCAPE FIQ UNL CONICET, Inst Invest Catalisis & Petroquim, RA-2654 Santiago Del Estero, Santa Fe, Argentina",INTEC UNL CONICET@@Argentina || PETROBRAS SA CENPES@@Brazil || UNL CONICET@@Argentina || INCAPE FIQ UNL CONICET@@Argentina
