review_type,standard_doi_key,title_signature_count,year,title,journal,author,institution,doi,registered_doi,review_note
unstable_standard_doi,10.3969/j.issn.1673,5,2014,歧口凹陷古近系沙河街组白云岩稀土元素特征及成因,中国石油大学学报(自然科学版),杨扬;高福红;蒲秀刚;,吉林大学地球科学学院 | 大港油田勘探开发研究院,10.3969/j.issn.1673,,Same strict DOI appears with multiple title signatures in CNKI; excluded from DOI-based auto-merge.
unstable_standard_doi,10.3969/j.issn.1673,5,2014,永安镇油田永3断块沙二下河口坝储层结构单元划分及其意义,中国石油大学学报(自然科学版),陈清华;周宇成;孙珂;王晶;王玺;刘岩;孙克兵;,中国石油大学地球科学与技术学院 | 中石化江苏油田分公司 | 承德石油高等专科学校石油工程系 | 南京大学地球科学与工程学院,10.3969/j.issn.1673,,Same strict DOI appears with multiple title signatures in CNKI; excluded from DOI-based auto-merge.
unstable_standard_doi,10.3969/j.issn.1673,5,2014,渤海湾盆地饶阳凹陷馆陶组层序地层格架及有利区带预测,中国石油大学学报(自然科学版),刘鹏;张立强;黄志佳;宋国奇;,中国石油大学地球科学与技术学院 | 中国石油华北油田分公司第三采油厂 | 中国石化胜利油田分公司,10.3969/j.issn.1673,,Same strict DOI appears with multiple title signatures in CNKI; excluded from DOI-based auto-merge.
unstable_standard_doi,10.3969/j.issn.1673,5,2014,基于新钻井对柴达木盆地东部石炭系分布及控制因素的再认识,中国石油大学学报(自然科学版),商琳;戴俊生;王彤达;曹国娟;叶志达;,中国石油大学地球科学与技术学院 | 中国石化股份胜利油田分公司地质科学研究院 | 塔里木油田勘探开发研究院,10.3969/j.issn.1673,,Same strict DOI appears with multiple title signatures in CNKI; excluded from DOI-based auto-merge.
unstable_standard_doi,10.3969/j.issn.1673,5,2014,济阳坳陷地震泵作用与新近系大油田高效形成,中国石油大学学报(自然科学版),罗霞;朱筱敏;方旭庆;林德猛;,中国石油大学地球科学学院 | 中国石化胜利油田分公司物探研究院 | 中国石化胜利油田分公司勘探处,10.3969/j.issn.1673,,Same strict DOI appears with multiple title signatures in CNKI; excluded from DOI-based auto-merge.
unstable_standard_doi,10.3969/j.issn.1673-5005.2014.02.001,2,2014,倾斜线圈随钻电磁波电阻率测量仪器的响应模拟及应用,中国石油大学学报(自然科学版),宋殿光;段宝良;魏宝君;张贵宾;,中国地质大学地球物理与信息技术学院 | 中国电波传播研究所 | 中国石油大学理学院,10.3969/j.issn.1673-5005.2014.02.001,,Same strict DOI appears with multiple title signatures in CNKI; excluded from DOI-based auto-merge.
unstable_standard_doi,10.3969/j.issn.1673-5005.2014.02.001,2,2014,随钻电磁波测井仪器偏心条件下响应模拟与分析,中国石油大学学报(自然科学版),范宜仁;胡云云;李虎;孙庆涛;雷震宇;,中国石油大学地球科学与技术学院 | 中国石油大学CNPC测井重点实验室 | 中国石油集团测井有限公司华北事业部,10.3969/j.issn.1673-5005.2014.02.001,,Same strict DOI appears with multiple title signatures in CNKI; excluded from DOI-based auto-merge.
