机构标准名,总频次,CNKI频次,WOS频次,CSCD频次
南京师范大学,447,5,441,1
成功大学,441,0,441,0
巴斯克大学,436,0,436,0
赫瑞瓦特大学,436,2,434,0
济南大学,432,5,424,3
科罗拉多矿业学院,430,0,426,4
华东师范大学,430,9,418,3
马来西亚国油科技大学,425,2,423,0
图卢兹大学,424,0,424,0
里贾纳大学,424,2,415,7
韩国能源研究院,423,0,423,0
大庆油田设计院,422,422,0,0
爱荷华州立大学,421,0,421,0
哈尔滨工程大学,421,13,395,13
齐鲁工业大学,420,0,420,0
河南大学,417,10,395,12
阿卜杜勒阿齐兹国王大学,412,0,412,0
印度化学技术学院,412,0,409,3
俄克拉荷马大学,411,0,407,4
隆德大学,410,0,410,0
西安大略大学,410,1,406,3
九州大学,409,2,406,1
威斯康星大学,408,0,408,0
浙江理工大学,408,7,398,3
京都大学,406,0,405,1
法国国家科学研究中心,405,0,405,0
休斯敦大学,403,4,396,3
朱拉隆功大学,402,0,402,0
怀俄明大学,401,6,388,7
设拉子大学,400,0,398,2
北海道大学,399,0,399,0
都灵理工大学,398,0,398,0
里约热内卢联邦大学,396,0,396,0
西安建筑科技大学,395,19,375,1
加州大学伯克利分校,393,1,392,0
劳伦斯伯克利国家实验室,392,0,392,0
坎皮纳斯州立大学,392,0,392,0
多伦多大学,392,1,390,1
西南交通大学,391,10,368,13
塔比阿特莫达雷斯大学,390,0,384,6
印度理工学院德里分校,388,0,388,0
斯塔万格大学,388,0,386,2
印度科学与工业研究理事会,387,0,387,0
明尼苏达大学,387,0,387,0
纽卡斯尔大学（澳大利亚）,387,0,387,0
宁波大学,387,1,384,2
慕尼黑工业大学,386,0,386,0
河海大学,386,11,359,16
南京航空航天大学,385,11,374,0
太平洋西北国家实验室,384,0,384,0
奥博学术大学,384,0,384,0
西澳大学,384,0,384,0
天津科技大学,383,27,332,24
燕山大学,383,44,319,20
印度科学与创新研究院,382,0,382,0
海南大学,381,14,358,9
卡迪夫大学,379,0,379,0
田纳西大学,379,0,379,0
石河子大学,379,13,363,3
马来亚大学,377,0,376,1
洛林大学,375,0,375,0
古勃金俄罗斯国立石油天然气大学,374,0,372,2
法国石油与新能源研究院,372,0,372,0
喀山联邦大学,372,0,369,3
青岛海洋科学与技术试点国家实验室,369,0,369,0
沙特阿美公司,368,0,368,0
萨拉戈萨大学,368,0,367,1
墨尔本大学,366,0,366,0
密歇根大学,366,0,366,0
石油勘探开发研究院,366,75,8,283
悉尼大学,365,0,365,0
安徽理工大学,365,45,303,17
重庆科技大学,362,15,265,82
密苏里科技大学,360,10,339,11
卡内基梅隆大学,359,0,358,1
伊朗科学技术大学,359,1,356,2
武汉科技大学,359,55,291,13
油气藏地质及开发工程国家重点实验室,359,322,0,37
印度理工学院马德拉斯分校,358,0,358,0
马来西亚工艺大学,355,0,355,0
广州大学,354,8,344,2
墨西哥国立自治大学,353,0,353,0
中国石油新疆油田公司,351,72,163,116
犹他大学,350,6,344,0
庆北国立大学,349,0,349,0
奥尔堡大学,347,0,347,0
东京工业大学,346,0,346,0
江苏科技大学,345,9,330,6
中国农业大学,343,9,333,1
国家大学,342,0,337,5
阿威罗大学,340,0,340,0
香港大学,340,0,340,0
悉尼科技大学,339,0,339,0
吕勒奥理工大学,338,0,338,0
俄亥俄州立大学,337,1,336,0
安徽工业大学,337,2,333,2
湖北大学,334,11,322,1
中北大学,334,54,271,9
谢菲尔德大学,332,0,332,0
华南师范大学,330,3,326,1
苏州科技大学,330,14,306,10
美国农业部农业研究局,329,0,329,0
全北国立大学,326,0,326,0
北卡罗来纳州立大学,326,0,325,1
特拉华大学,325,0,324,1
中国地质调查局,325,1,321,3
牛津大学,323,1,322,0
上海电力大学,321,0,321,0
阿伯丁大学,321,0,320,1
兰州理工大学,320,80,224,16
瓦伦西亚理工大学,319,0,319,0
华盛顿州立大学,318,0,318,0
墨西哥石油研究所,317,0,317,0
安徽大学,317,12,296,9
浦项科技大学,315,0,315,0
纽卡斯尔大学（英国）,314,0,313,1
挪威工业技术研究院,313,0,313,0
麦吉尔大学,313,0,313,0
中国石化有机原料科技情报中心站,313,313,0,0
西弗吉尼亚大学,312,0,312,0
里斯本大学,312,0,312,0
爱丁堡大学,312,5,306,1
天津化学科学与工程协同创新中心,310,0,310,0
印度理工学院古瓦哈提分校,308,0,308,0
卡斯蒂利亚-拉曼查大学,307,0,307,0
山东理工大学,307,6,295,6
莱斯大学,306,0,304,2
沈阳化工大学,306,101,178,27
亚利桑那州立大学,302,0,301,1
阿贡国家实验室,301,0,301,0
特文特大学,300,0,300,0
庆熙大学,299,0,299,0
马来西亚理科大学,298,0,298,0
中海石油（中国）有限公司,297,4,139,154
美国能源部,296,0,296,0
岭南大学（韩国）,295,0,295,0
釜山国立大学,295,0,295,0
福建师范大学,295,21,272,2
西南科技大学,295,18,267,10
中国大学,295,50,125,120
武汉纺织大学,293,5,288,0
华南农业大学,293,8,284,1
长沙理工大学,293,2,281,10
昆士兰科技大学,292,0,292,0
克兰菲尔德大学,291,0,291,0
博洛尼亚大学,291,0,291,0
马里兰大学,290,0,290,0
河南师范大学,289,6,282,1
中国石化胜利油田分公司,289,79,3,207
皇家墨尔本理工大学,288,0,288,0
西安工业大学,288,4,282,2
弗吉尼亚理工大学,287,1,286,0
西北农林科技大学,287,2,284,1
康奈尔大学,286,0,283,3
塔尔萨大学,286,8,271,7
西南大学,285,5,278,2
荆州市第一人民医院,284,284,0,0
全南国立大学,283,0,283,0
格罗宁根大学,282,0,282,0
山西大学,279,6,269,4
印度理工学院鲁尔基分校,278,0,278,0
乌法国立石油技术大学,278,1,277,0
路易斯安那州立大学,278,1,274,3
华侨大学,278,17,256,5
柏林工业大学,277,0,277,0
塞维利亚大学,276,0,276,0
夸祖鲁-纳塔尔大学,271,0,271,0
乌得勒支大学,270,0,270,0
北京交通大学,269,19,244,6
普林斯顿大学,267,0,267,0
浙江师范大学,267,4,263,0
纽芬兰纪念大学,265,1,264,0
中海石油有限公司天津分公司,264,264,0,0
拉夫堡大学,263,0,263,0
中国石化石油勘探开发研究院,263,64,7,192
贝尔法斯特女王大学,262,0,262,0
奥胡斯大学,262,0,261,1
斯伦贝谢,262,2,258,2
仁荷大学,261,0,261,0
烟台大学,261,21,231,9
中国计量大学,260,0,260,0
安娜大学,260,0,260,0
云南大学,260,1,255,4
于利希研究中心,258,0,258,0
中国自然资源部,257,0,257,0
帕多瓦大学,257,0,257,0
广岛大学,257,0,257,0
萨斯喀彻温大学,257,0,257,0
桑迪亚国家实验室,255,0,255,0
中国工程物理研究院,255,0,254,1
中海油田服务股份有限公司,254,130,65,59
中国石化北京化工研究院,254,85,0,169
哥伦比亚国立大学,253,0,253,0
河南工业大学,253,14,236,3
香港中文大学,252,0,251,1
塞萨洛尼基亚里士多德大学,251,0,251,0
国立台湾科技大学,249,0,249,0
伊斯法罕理工大学,249,0,247,2
多特蒙德工业大学,247,0,247,0
中国石油集团工程设计有限责任公司西南分公司,247,247,0,0
波兰科学院,246,0,246,0
马拉达伦大学,246,0,246,0
西北大学（美国）,246,1,240,5
密歇根州立大学,245,0,245,0
陕西师范大学,245,9,235,1
蔚山科学技术院,244,0,244,0
名古屋大学,243,0,243,0
希腊雅典国立理工大学,242,0,242,0
拉瓦尔大学,240,0,240,0
洛桑联邦理工学院,240,0,240,0
美国国家能源技术实验室,237,0,237,0
达姆施塔特工业大学,237,0,237,0
哈利法大学,237,0,236,1
堪萨斯大学,237,0,236,1
巴塞罗那大学,234,0,234,0
加州大学戴维斯分校,233,0,233,0
麦克马斯特大学,233,0,233,0
肯塔基大学,232,0,232,0
聊城大学,232,4,228,0
女王大学（加拿大）,231,0,231,0
萨里大学,231,0,231,0
南昌航空大学,230,10,217,3
桂林理工大学,230,27,192,11
中海石油有限公司湛江分公司,230,230,0,0
忠南国立大学,229,0,229,0
得克萨斯理工大学,229,0,224,5
大连海事大学,228,11,210,7
中国石油西南油气田公司,228,93,6,129
中国农业科学院,226,0,226,0
中国环境科学研究院,226,0,226,0
巴斯大学,226,0,226,0
奥托冯格里克大学马格德堡,225,0,225,0
埃及石油研究院,225,0,224,1
印度理工学院卡拉格普尔分校,224,0,224,0
渥太华大学,224,0,224,0
佩鲁贾大学,223,0,223,0
辛辛那提大学,223,0,223,0
成都大学,223,7,200,16
加州大学洛杉矶分校,222,0,222,0
中国石油兰州化工研究中心,222,222,0,0
国立清华大学,221,0,221,0
巴巴原子研究中心,221,0,221,0
挪威国家石油公司,221,0,221,0
黑龙江大学,221,7,211,3
加拿大自然资源部,220,1,219,0
伊迪斯科文大学,220,0,219,1
格拉茨工业大学,219,0,219,0
南京农业大学,219,7,212,0
开罗大学,218,0,218,0
奥本大学,216,0,216,0
斯图加特大学,216,0,216,0
大连工业大学,216,3,211,2
布鲁塞尔自由大学,215,0,215,0
东北林业大学,215,5,210,0
卡塔尔大学,214,0,214,0
华中农业大学,214,12,201,1
卧龙岗大学,213,0,213,0
哥伦比亚大学,212,0,212,0
罗马第一大学,212,0,212,0
福建农林大学,212,27,185,0
苏黎世联邦理工学院,209,0,209,0
东北师范大学,209,1,208,0
巴西国家石油公司,209,0,208,1
托木斯克理工大学,209,0,207,2
东莞理工学院,208,0,205,3
河北大学,208,3,202,3
天津理工大学,208,9,195,4
海河实验室,207,0,207,0
新西伯利亚国立大学,207,0,206,1
江西师范大学,205,9,194,2
世宗大学,204,0,204,0
哈利法科技大学,204,0,204,0
中国石油集团钻井工程技术研究院,202,135,16,51
于默奥大学,201,0,201,0
利物浦大学,201,0,201,0
贝尔格莱德大学,201,0,201,0
苏丹卡布斯大学,201,1,195,5
河北科技大学,201,17,180,4
美国地质调查局,200,0,200,0
迪肯大学,200,0,200,0
马克斯普朗克复杂技术系统动力学研究所,200,0,200,0
马来西亚博特拉大学,200,0,200,0
上海应用技术大学,200,0,195,5
德累斯顿工业大学,199,0,199,0
中国石油杭州地质研究院,199,129,3,67
墨西哥国立理工学院,198,0,198,0
韩国化学技术研究院,197,0,197,0
鲁尔大学波鸿,197,0,197,0
温州大学,197,1,196,0
奥斯陆大学,197,0,195,2
青岛理工大学,197,7,186,4
马萨诸塞大学,196,0,196,0
中国地质科学院,196,14,182,0
低渗透油气田勘探开发国家工程实验室,195,195,0,0
埃克森美孚公司,194,0,194,0
韦洛尔理工学院,194,1,192,1
江西理工大学,194,7,187,0
北京石油化工学院,194,21,133,40
罗格斯大学,193,0,193,0
东北电力大学,193,1,192,0
盐城工学院,193,4,187,2
中国林业科学研究院,192,0,192,0
比萨大学,191,0,191,0
维也纳工业大学,191,0,191,0
佛罗里达大学,190,0,190,0
南京信息工程大学,190,1,184,5
东华理工大学,190,16,155,19
印度矿业学院,189,0,189,0
印度科学研究院,189,0,189,0
