机构标准名,总频次,CNKI频次,WOS频次,CSCD频次
奇伊恩埃斯埃科学院勒阿恩德资源经济,3,0,0,3
奇奥恩库伊恩分部普埃特拉奥奇伊恩阿斯欧斯瓦埃斯特石油天然气弗耶勒德公司,3,0,0,3
奇瓦恩克斯伊天然气生产普勒阿恩特,3,0,0,3
奇瓦恩兹赫奥恩分部,3,0,0,3
奇瓦恩兹赫奥恩石油天然气弗耶勒德,3,0,0,3
奥弗弗什奥尔埃石油生产普勒阿恩特,3,0,0,3
奥恩什奥尔埃欧伊勒弗耶勒德奥普埃尔阿特约恩阿尔伊杰伊德奥恩油田公司,3,0,0,3
姆伊恩伊斯特尔伊勒阿恩德尔埃斯欧尔克埃斯青岛研究所姆阿尔伊恩埃地质,3,0,0,3
学院化学化工工程海洋大学,3,0,0,3
学院化工工程青岛中国大学,3,0,0,3
学院地球物理信息技术中国大学,3,0,0,3
学院机械埃勒埃克特拉伊克阿勒工程中国大学,3,0,0,3
学院格埃奥斯克耶恩克埃斯技术中国大学,3,0,0,3
学院石油工程克斯亚恩什伊欧大学,3,0,0,3
学院石油工程斯欧斯瓦埃斯特石油大学,3,0,0,3
学院石油恩阿特乌尔阿勒天然气工程斯欧斯瓦埃斯特石油大学,3,0,0,3
尔维弗埃恩化工公司,3,0,0,3
山东奇阿姆布拉奥德普埃特拉奥奇埃姆伊克阿勒斯公司有限公司,3,0,0,3
山东重点实验室石油天然气斯特奥尔阿格埃交通安全工程,3,0,0,3
工程学院中国大学,3,0,0,3
工程技术尔德公司有限公司,3,0,0,3
工程技术研究研究所普埃特拉奥奇伊恩阿斯欧斯瓦埃斯特石油天然气弗耶勒德公司,3,0,0,3
工程技术研究研究所普埃特拉奥奇伊恩阿新疆油田公司,3,0,0,3
工程研究中心石油什阿勒埃综合乌特伊勒伊兹阿特约恩,3,0,0,3
布埃杰伊恩大学化工技术,3,0,0,3
布格普公司,3,0,0,3
布阿奥特阿石油生产普勒阿恩特,3,0,0,3
布阿斯伊克研究中心能源伊恩特埃尔德伊斯克伊普勒伊恩阿尔伊,3,0,0,3
广西石油生产普勒阿恩特,3,0,0,3
库伊恩赫瓦恩德阿奥分院学院恩奥尔斯伊斯特石油大学,3,0,0,3
开发系塔里木油田公司,3,0,0,3
弗伊尔斯特生产弗阿克特奥尔伊,3,0,0,3
弗伊尔斯特石油生产普勒阿恩特青海欧伊勒弗耶勒德,3,0,0,3
德伊尔埃克特约恩阿勒德拉伊勒勒伊恩服务公司,3,0,0,3
德伊斯克伊普勒伊恩埃化工工程,3,0,0,3
德奥恩克斯伊恩石油普勒阿恩特,3,0,0,3
德奥瓦恩赫奥勒埃奥普埃尔阿特约恩公司德阿库伊恩欧伊勒弗耶勒德公司有限公司,3,0,0,3
德拉伊勒勒伊恩技术服务公司,3,0,0,3
德拉伊勒勒伊恩技术研究研究所什埃恩勒伊欧伊勒弗耶勒德,3,0,0,3
德拉伊勒勒伊恩技术研究研究所什埃恩勒伊欧伊勒弗耶勒德服务公司,3,0,0,3
德拉伊勒勒伊恩技术研究研究所什埃恩勒伊石油阿德姆伊恩伊斯特尔阿特约恩,3,0,0,3
德拉伊勒勒伊恩技术研究研究所斯伊恩奥普埃克什埃恩勒伊欧伊勒弗耶勒德服务公司,3,0,0,3
德拉伊勒勒伊恩理工学院,3,0,0,3
德拉伊勒勒伊恩生产工程技术研究研究所中国石油天然气集团奇瓦恩库伊恩德拉伊勒勒伊恩工程公司,3,0,0,3
德拉伊勒勒伊恩生产技术研究研究所中国石油天然气集团奇瓦恩库伊恩德拉伊勒勒伊恩工程公司,3,0,0,3
德阿库伊恩勒奥格格伊恩特埃斯特伊恩服务公司,3,0,0,3
德阿库伊恩石油化工工程公司有限公司,3,0,0,3
德阿特阿加工公司,3,0,0,3
恩埃瓦资源地球物理勘探分部,3,0,0,3
恩奥2石油生产公司,3,0,0,3
恩奥3生产普勒阿恩特,3,0,0,3
恩奥5生产普勒阿恩特,3,0,0,3
恩奥尔斯伊斯特石油大学库伊恩赫瓦恩德阿奥,3,0,0,3
恩奥尔斯伊斯特石油天然气分院公司,3,0,0,3
恩奥尔斯瓦埃斯特分院研究所,3,0,0,3
恩奥尔斯瓦埃斯特四川分部,3,0,0,3
恩奥尔斯瓦埃斯特埃尔恩四川天然气德伊斯特尔伊克特,3,0,0,3
恩阿特乌尔阿勒天然气埃克奥恩奥姆伊克研究研究所普埃特拉奥奇伊恩阿斯欧斯瓦埃斯特石油天然气弗耶勒德公司,3,0,0,3
成都特埃奇恩奥勒奥格伊克阿勒大学,3,0,0,3
斯乌勒伊格埃研究研究所长庆油田公司,3,0,0,3
斯伊克斯斯石油生产普勒阿恩特,3,0,0,3
斯伊恩奥普埃克什埃恩勒伊油田公司,3,0,0,3
斯伊恩奥普埃克伊恩特埃尔恩阿特约恩阿勒石油勘探开发公司有限公司,3,0,0,3
斯伊恩奥普埃克克阿特阿勒伊斯特公司北京奥德阿分部,3,0,0,3
斯伊恩奥普埃克勘探开发研究院,3,0,0,3
斯伊恩奥普埃克化工系,3,0,0,3
斯伊恩奥普埃克地球物理公司什埃恩勒伊分院,3,0,0,3
斯伊恩奥普埃克天津石油化工公司分院,3,0,0,3
斯伊恩奥普埃克杰伊恩勒伊恩石油化工公司,3,0,0,3
斯伊恩奥普埃克欧伊勒弗耶勒德勘探开发分部,3,0,0,3
斯伊恩奥普埃克江汉欧伊勒弗耶勒德服务公司,3,0,0,3
斯伊恩奥普埃克海南石油化工公司,3,0,0,3
斯伊恩奥普埃克科学技术开发系,3,0,0,3
斯伊恩奥普埃克重点实验室什阿勒埃石油天然气勘探生产,3,0,0,3
斯伊恩斯埃特伊克尔乌布布埃尔弗阿克特奥尔伊恩奥1,3,0,0,3
斯埃克奥恩德生产普勒阿恩特,3,0,0,3
斯埃德伊姆埃恩特阿尔伊地质研究所,3,0,0,3
斯欧斯伊斯特阿斯亚普伊普埃勒伊恩埃公司,3,0,0,3
斯欧斯瓦埃斯特天然气生产普勒阿恩特,3,0,0,3
斯阿恩伊阿奥弗弗什奥尔埃石油天然气研究院,3,0,0,3
新疆欧伊勒弗耶勒德公司研究研究所勘探开发,3,0,0,3
普勒阿乌恩伊特,3,0,0,3
普埃特拉奥奇伊恩阿什埃恩兹赫埃恩恩埃瓦能源研究研究所公司,3,0,0,3
普埃特拉奥奇伊恩阿勘探开发公司,3,0,0,3
普埃特拉奥奇伊恩阿四川石油化工公司有限公司,3,0,0,3
普埃特拉奥奇伊恩阿塔里木欧伊勒弗伊埃勒德公司,3,0,0,3
普埃特拉奥奇伊恩阿奇阿恩伊恩油田公司,3,0,0,3
普埃特拉奥奇伊恩阿恩伊恩克斯亚石油化工公司,3,0,0,3
普埃特拉奥奇伊恩阿斯欧斯瓦埃斯特石油天然气弗耶勒德分院公司,3,0,0,3
普埃特拉奥奇伊恩阿新疆欧伊勒弗耶勒德公司研究研究所勘探开发,3,0,0,3
普埃特拉奥奇伊恩阿长庆欧伊勒弗耶勒德克奥姆普阿恩伊国家工程实验室勘探开发勒奥瓦普埃尔姆伊布伊勒伊特伊石油天然气弗耶勒德斯,3,0,0,3
普奥斯特德奥克特奥尔斯特阿特约恩,3,0,0,3
杰伊勒伊恩石油化工公司,3,0,0,3
杰伊恩姆阿欧伊勒弗耶勒德开发公司,3,0,0,3
格埃奥斯克耶恩克埃斯学院恩奥尔斯伊斯特石油大学,3,0,0,3
格埃恩埃尔阿勒研究院,3,0,0,3
格拉伊特瓦阿勒勒德拉伊勒勒伊恩公司普埃特拉奥奇伊恩阿,3,0,0,3
格瓦恩兹赫欧公司,3,0,0,3
武汉中心,3,0,0,3
沈阳尔埃德斯特阿尔斯伊勒伊恩普阿尔特斯弗阿克特奥尔伊,3,0,0,3
渤海欧伊勒弗耶勒德研究研究所中国国家奥弗弗什奥尔埃欧伊勒弗耶勒德公司有限公司天津,3,0,0,3
湛江分院中国海洋石油中国公司有限公司,3,0,0,3
湛江分院中国海洋石油中国有限公司,3,0,0,3
瓦乌库伊石油生产普勒阿恩特,3,0,0,3
瓦埃斯特分院,3,0,0,3
生产奥普特伊姆伊兹阿特约恩分部,3,0,0,3
生产工程研究研究所普埃特拉奥奇伊恩阿赫瓦布伊油田公司,3,0,0,3
石油天然气计算机辅助工程技术研究中心中国大学,3,0,0,3
石油天然气资源斯特尔阿特埃格伊研究中心,3,0,0,3
石油工程技术研究伊恩斯特伊特乌特约恩,3,0,0,3
石油工程系伊阿恩什阿恩大学,3,0,0,3
石油生产工程技术研究所,3,0,0,3
石油生产工程技术研究研究所,3,0,0,3
石油生产普勒阿恩特恩奥1,3,0,0,3
石油研究中心中国海洋石油,3,0,0,3
研究中心勘探开发技术,3,0,0,3
研究中心石油天然气资源斯特尔阿特埃格伊,3,0,0,3
研究开发布阿斯埃克阿特阿勒伊特伊克赫伊德拉奥格埃恩阿特约恩,3,0,0,3
研究所乌恩克奥恩维埃恩特约恩阿勒恩阿特乌尔阿勒天然气研究,3,0,0,3
研究所乌恩克奥恩维埃恩特约恩阿勒赫伊德拉奥克阿尔布奥恩恩埃瓦能源,3,0,0,3
研究所伊尔斯库阿克埃工程,3,0,0,3
研究所勒奥恩奇德伊恩阿姆伊克斯,3,0,0,3
研究所勒阿恩兹赫欧石油化工公司,3,0,0,3
研究所勘探开发新疆石油公司,3,0,0,3
研究所勘探特埃奇恩伊库埃斯,3,0,0,3
研究所地质埃克斯普埃尔伊姆埃恩特阿特约恩,3,0,0,3
研究所弗勒维德姆埃奇阿恩伊克斯,3,0,0,3
研究所格埃奥德埃斯伊地球物理,3,0,0,3
研究所深地斯伊科学工程,3,0,0,3
研究所特伊布埃特阿恩普勒阿特伊乌研究,3,0,0,3
研究所特拉伊布奥勒奥格伊,3,0,0,3
研究所石油工程技术,3,0,0,3
研究研究所伊阿恩奇阿恩石油集团,3,0,0,3
研究研究所勘探开发斯伊恩奥普埃克什埃恩勒伊油田公司,3,0,0,3
研究研究所勘探开发长庆油田公司,3,0,0,3
研究研究所安全,3,0,0,3
研究研究所布格普,3,0,0,3
研究研究所斯伊恩奥普埃克勘探公司,3,0,0,3
研究研究所普埃特拉奥奇伊恩阿塔里木油田公司,3,0,0,3
研究研究所杰伊勒伊恩石油化工公司,3,0,0,3
研究研究所渤海欧伊勒弗耶勒德,3,0,0,3
研究研究所石油伊恩德乌斯特尔伊伊朗石油工业研究所,3,0,0,3
科学院科学技术,3,0,0,3
系地质恩奥尔斯瓦埃斯特大学,3,0,0,3
系奥特奥姆阿特约恩,3,0,0,3
系环境安全工程,3,0,0,3
系石油地质,3,0,0,3
能源技术&服务有限公司,3,0,0,3
"西南石油大学,中国石油勘探开发研究院",3,0,0,3
西部分院,3,0,0,3
资源学院中国大学,3,0,0,3
赫伊格普埃尔弗奥尔姆阿恩克埃普奥勒伊姆埃尔研究院,3,0,0,3
赫埃恩阿恩师范大学,3,0,0,3
赫瓦布伊分院公司,3,0,0,3
赫瓦布伊地球物理勘探系,3,0,0,3
赫瓦布伊欧伊勒弗耶勒德勘探特埃奇恩奥勒奥格耶斯研究所,3,0,0,3
赫瓦杰伊恩普奥瓦德埃尔伊材料科学特埃奇恩奥勒奥格伊克阿勒公司,3,0,0,3
赫阿瓦艾伊恩阿特乌尔阿勒能源研究所,3,0,0,3
重点实验室克奥勒资源勘探综合乌特伊勒伊兹阿特约恩,3,0,0,3
重点实验室奥克斯伊勒亚尔伊化学技术化工工程,3,0,0,3
重点实验室特埃克特奥恩伊克克奥恩特拉奥勒勒埃德姆伊恩埃尔阿勒伊兹阿特约恩石油储库,3,0,0,3
重点实验室石油工程姆伊恩伊斯特尔伊教育中国大学,3,0,0,3
长庆德拉伊勒勒伊恩公司,3,0,0,3
长庆欧伊勒弗耶勒德分院普埃特拉奥奇伊恩阿,3,0,0,3
阿克库伊斯伊特约恩特埃奇恩伊库埃斯乌普普奥尔特系,3,0,0,3
阿勒瓦阿赫阿石油公司,3,0,0,3
阿恩特奥恩欧伊勒弗耶勒德服务集团有限公司,3,0,0,3
陕西伊阿恩奇阿恩普埃特拉奥勒埃乌姆格拉欧普公司,3,0,0,3
陕西克奥勒地质集团公司,3,0,0,3
陕西研究研究所农业普拉奥德乌克特斯加工技术,3,0,0,3
陕西重点实验室先进斯特伊姆乌勒阿特约恩技术石油天然气储层,3,0,0,3
青岛中国大学石油华东,3,0,0,3
青岛学院信息克奥恩特拉奥勒工程中国大学,3,0,0,3
青岛学院埃勒埃克特拉奥姆埃奇阿恩伊克阿勒工程中国大学,3,0,0,3
青岛学院机械电子工程中国大学,3,0,0,3
青岛尔维勒伊恩材料技术公司有限公司,3,0,0,3
1,2,0,2,0
111中心伊恩特埃勒勒伊格埃恩特布阿特奇姆弗格布阿斯埃德约特技术,2,0,2,0
1239斯伊普伊恩尔德,2,0,2,0
12兹赫奥恩格瓦恩克乌恩斯欧斯斯特,2,0,2,0
15,2,0,2,0
15布伊斯阿恩赫瓦恩伊斯特尔德,2,0,2,0
163尔韦斯阿维伊格恩伊,2,0,2,0
174什阿兹赫埃恩尔德,2,0,2,0
174什阿兹赫埃恩杰耶斯特,2,0,2,0
18克斯韦兹赫埃恩尔德,2,0,2,0
18弗乌克斯韦尔德,2,0,2,0
194克奥勒格埃奥勒公司有限公司,2,0,2,0
1什伊德阿尔德,2,0,2,0
1德拉伊勒勒伊恩公司,2,0,2,0
1研究所格埃奥勒矿物资源山东省,2,0,2,0
21恩奥尔斯4斯尔伊恩尔德,2,0,2,0
24斯欧斯斯埃克特1,2,0,2,0
259斯阿姆阿尔斯恩阿格阿尔,2,0,2,0
28瓦埃斯特克斯亚恩恩伊恩尔德,2,0,2,0
3372得克萨斯农工大学,2,0,2,0
391布伊恩什维克斯伊德阿奥,2,0,2,0
39皮开普阿尔阿德埃,2,0,2,0
3埃,2,0,2,0
3尔石油奥勒埃奥天然气公司,2,0,2,0
41奥克埃恩勒阿恩埃,2,0,2,0
489赫埃勒阿恩什阿恩瓦埃斯特尔德,2,0,2,0
516杰乌恩奥恩尔德,2,0,2,0
525斯奥勒乌特约恩斯公司,2,0,2,0
53兹赫埃恩兹赫欧尔德,2,0,2,0
55斯阿恩杰亚恩尔德,2,0,2,0
626克奥奇尔阿恩姆伊勒勒尔德,2,0,2,0
6普埃尔斯亚尔阿恩研究所,2,0,2,0
794赫瓦恩赫埃尔德,2,0,2,0
7姆埃特斯阿德阿斯特,2,0,2,0
7石油普拉奥德普勒阿恩特长庆欧伊勒弗耶勒德,2,0,2,0
92,2,0,2,0
上海8恩乌克勒伊恩德研究院,2,0,2,0
上海乌尔布阿恩克奥恩斯特尔乌克特德埃斯伊格恩研究研究所格拉普公司,2,0,2,0
上海乌尔布阿恩克奥恩斯特尔乌克特德埃斯伊格恩研究院,2,0,2,0
上海什埃恩克艾石油埃库伊普姆埃恩特公司有限公司,2,0,2,0
上海什埃恩埃尔格伊电力技术公司有限公司,2,0,2,0
上海伊恩德理工学院,2,0,2,0
上海先进研究物理科学什阿尔斯,2,0,2,0
上海克乌恩奇阿欧伊瓦恩恩埃瓦材料技术公司有限公司,2,0,2,0
上海克勒伊姆阿特埃中心,2,0,2,0
上海克奥勒勒阿布奥尔阿特创新中心布约姆弗格,2,0,2,0
上海克奥勒勒阿布奥尔阿特创新中心布约姆弗格技术科学,2,0,2,0
上海克斯乌赫维德伊斯特德埃恩特中心,2,0,2,0
上海勒伊克斯伊恩大学阿克克欧恩特伊恩弗伊恩阿恩克埃,2,0,2,0
上海勒伊格阿恩克乌尔特艾恩瓦阿勒勒技术公司有限公司,2,0,2,0
上海埃恩特拉伊埃克斯伊特伊恩斯普埃克特库阿尔阿恩特伊恩埃布乌尔,2,0,2,0
上海奇埃恩特欧瓦阿斯特埃瓦阿特埃尔特拉伊特姆埃恩特公司有限公司,2,0,2,0
上海奥尔耶恩特阿勒埃恩维伊尔奥伊恩德公司有限公司,2,0,2,0
上海姆乌恩伊克伊普阿勒电子电力公司,2,0,2,0
上海姆乌斯埃乌姆,2,0,2,0
上海姆伊什阿恩伊尔奥恩斯特伊勒公司有限公司,2,0,2,0
上海姆伊恩赫瓦电子电力科学技术公司有限公司,2,0,2,0
上海姆奥特奥尔维埃赫伊克勒埃伊恩斯普埃克特克埃尔特伊弗伊克阿特技术,2,0,2,0
上海尔埃弗伊尔埃技术公司有限公司,2,0,2,0
上海工程研究中心伊恩德姆伊克拉乌尔格阿恩伊斯姆斯,2,0,2,0
上海工程研究中心伊恩德阿斯伊姆姆埃特拉克阿特阿勒伊斯伊斯奇伊尔,2,0,2,0
上海工程研究中心伊恩德阿斯伊姆姆埃特拉克阿特阿勒伊斯伊斯奇伊尔阿,2,0,2,0
上海工程研究中心固体瓦阿斯特埃特拉伊特姆埃恩特尔埃斯奥,2,0,2,0
上海工程研究中心固体瓦阿斯特埃特拉伊特姆埃恩特研究,2,0,2,0
上海工程研究中心姆乌勒特伊斯欧尔克埃固体瓦阿斯特埃斯克奥普,2,0,2,0
上海工程研究中心斯特埃姆克埃勒勒斯特拉阿恩斯勒阿特医学,2,0,2,0
上海工程研究中心电力格埃恩埃尔阿特环境普拉奥特埃,2,0,2,0
上海工程研究中心能源斯阿维伊恩赫伊特埃克斯奇阿恩埃,2,0,2,0
上海恩阿恩奥什伊恩埃技术公司有限公司,2,0,2,0
上海恩阿恩奥特埃奇恩奥勒普拉奥姆奥特中心,2,0,2,0
上海斯伊克斯斯普埃奥普勒埃斯医院,2,0,2,0
上海斯伊恩奇尔奥特拉奥恩尔阿德亚特弗阿克伊勒,2,0,2,0
上海斯奥勒阿尔能源研究中心,2,0,2,0
上海普乌恩阿能源技术公司有限公司,2,0,2,0
上海普阿恩克拉伊特克阿恩克研究所,2,0,2,0
上海杰亚奥特奥恩大学阿弗弗伊勒亚特埃德斯伊克斯斯普埃奥普勒埃斯赫,2,0,2,0
上海杰亚杰伊环境技术公司有限公司,2,0,2,0
上海特奥布阿克克奥格拉普公司,2,0,2,0
上海瓦伊埃尔埃克伊克勒伊恩克奥勒勒阿布奥尔阿特创新中心,2,0,2,0
上海瓦伊尔阿勒阿布公司有限公司,2,0,2,0
上海瓦埃恩兹埃克奥姆姆乌克阿特技术中心,2,0,2,0
上海电子电力德埃斯伊格恩研究所公司有限公司,2,0,2,0
上海电子电力斯乌普埃尔维伊斯咨询公司,2,0,2,0
上海电子电力格埃恩埃尔阿特环境普拉奥特埃克特工程,2,0,2,0
上海研究所克勒伊恩特埃奇创新,2,0,2,0
上海研究所克阿尔德约维阿斯克德伊斯,2,0,2,0
上海研究所埃克奥奇奥恩姆伊恩斯耶克,2,0,2,0
上海研究所奥尔格阿恩化工,2,0,2,0
上海研究所斯特埃姆克埃勒勒研究克勒伊恩特拉阿恩斯勒阿特,2,0,2,0
上海研究所斯阿特埃勒勒伊特埃工程,2,0,2,0
上海研究所普奥勒勒乌特克奥恩特拉奥勒生态安全,2,0,2,0
上海研究所材料医学,2,0,2,0
上海航空航天克奥恩特拉奥勒理工学院,2,0,2,0
上海航空航天埃库伊普姆埃恩特斯姆阿恩乌弗阿克特乌尔埃尔公司有限公司,2,0,2,0
上海赫伊格埃弗弗伊克耶恩克伊克乌勒伊恩系统研究中心,2,0,2,0
上海赫瓦伊3弗恩埃瓦材料公司有限公司,2,0,2,0
上海赫瓦伊恩埃瓦材料公司有限公司,2,0,2,0
上海重点实验室斯普阿克埃克拉阿弗特机械,2,0,2,0
上海重点实验室普拉埃克伊斯医学普阿恩克拉伊特克阿恩克,2,0,2,0
上海阿尔特伊弗伊克亚勒伊恩特埃勒勒伊格埃恩克埃实验室,2,0,2,0
东营克奥斯普奥瓦埃尔斯技术有限公司公司,2,0,2,0
东营尔维弗埃恩石油技术德埃维公司有限公司,2,0,2,0
东营职业学院,2,0,2,0
东部姆伊奇伊格阿恩大学,2,0,2,0
东部尔埃格研究中心,2,0,2,0
中国乌恩伊特埃德工程公司有限公司,2,0,2,0
中国什伊普布维勒德伊恩电力工程研究所公司有限公司,2,0,2,0
中国什伊普普伊恩环境技术上海公司有限公司,2,0,2,0
中国什伊普研究德埃维科学院,2,0,2,0
中国什埃恩兹赫埃恩天然气公司有限公司,2,0,2,0
中国什埃恩赫瓦克奥勒勒伊库伊德化工上海研究伊恩斯,2,0,2,0
中国伊尔奥恩斯特伊勒研究研究所格拉普,2,0,2,0
中国伊尔斯库阿克埃阿德姆克伊,2,0,2,0
中国克乌恩勒乌恩克奥恩特拉阿克特伊恩工程公司有限公司,2,0,2,0
中国克伊特伊环境普拉奥特埃克特工程有限公司公司,2,0,2,0
中国克勒阿斯斯伊弗伊克阿特斯奥克,2,0,2,0
中国克奥勒技术工程格拉普克拉奥普,2,0,2,0
中国克奥勒技术工程格拉普公司有限公司,2,0,2,0
中国克奥恩斯特尔乌克特伊格斯工程德伊维公司有限公司,2,0,2,0
中国克奥恩斯特尔乌克特弗伊弗斯工程德伊维公司有限公司,2,0,2,0
中国克奥恩斯特尔乌克特弗欧尔斯工程德伊维公司有限公司,2,0,2,0
中国克奥恩斯特尔乌克特斯伊尔德工程布乌尔格拉普公司有限公司,2,0,2,0
中国克奥斯特格瓦尔德科学院,2,0,2,0
中国兹赫埃恩赫瓦格拉普伊乌恩克埃电子公司有限公司,2,0,2,0
中国化工弗伊布埃尔斯阿斯斯奥克,2,0,2,0
中国北方埃恩伊恩埃研究研究所天津,2,0,2,0
中国南方格拉伊德,2,0,2,0
中国南方电力格拉伊德能源德埃维研究研究所公司勒,2,0,2,0
中国国家乌尔阿恩伊乌姆公司有限公司,2,0,2,0
中国国家库阿勒伊恩斯普埃克特特埃斯特伊恩中心埃克斯普勒奥斯普拉乌弗,2,0,2,0
中国国家库阿勒斯乌普埃尔维伊斯特埃斯特伊恩中心伊恩德埃克斯普勒奥斯姆,2,0,2,0
中国国家石油克乌普埃尔阿特,2,0,2,0
中国国家石油公司奥弗弗什奥尔埃工程公司有限公司,2,0,2,0
中国埃恩弗伊工程公司有限公司,2,0,2,0
中国埃维埃尔布拉伊格特格拉伊恩特埃奇有限公司,2,0,2,0
中国天然气特乌尔布伊恩埃埃斯特阿布,2,0,2,0
中国奥弗弗什奥尔埃环境服务有限公司,2,0,2,0
中国奥弗弗什奥尔埃石油公司,2,0,2,0
中国姆伊恩伊斯特尔伊教育,2,0,2,0
中国姆伊恩伊阿恩瓦伊恩德电力格拉普公司有限公司,2,0,2,0
中国姆伊恩姆埃特阿勒斯公司,2,0,2,0
中国姆克克17格拉普公司有限公司,2,0,2,0
中国姆克克5格拉普公司有限公司,2,0,2,0
中国姆埃尔奇阿恩特斯奇奥恩库伊恩克奥姆姆乌恩技术研究,2,0,2,0
中国姆埃尔奇阿恩特斯奇奥恩库伊恩克奥姆姆乌恩技术研究德埃斯,2,0,2,0
中国尔乌尔阿勒技术德埃维中心,2,0,2,0
中国尔阿尔埃地球格拉普研究院,2,0,2,0
中国山西伊恩特埃勒勒埃克特瓦勒普拉奥普埃尔特伊普拉奥特埃克特中心,2,0,2,0
中国布勒韦奇埃姆有限公司,2,0,2,0
中国弗阿瓦格拉普克乌普埃尔阿特尔德中心,2,0,2,0
中国弗阿瓦格拉普公司,2,0,2,0
中国德阿特阿恩公司,2,0,2,0
中国恩乌克勒姆伊恩科学技术公司,2,0,2,0
中国恩奥尔斯伊恩德格拉普公司,2,0,2,0
中国恩奥恩弗埃尔尔欧斯姆埃特资源格埃奥勒斯乌尔维伊,2,0,2,0
中国斯尔伊格奥尔格埃斯格拉普,2,0,2,0
中国斯欧斯瓦埃斯特阿尔奇伊特埃克特乌尔阿勒德埃斯伊格恩研究研究所公司,2,0,2,0
中国斯阿勒特杰伊恩特阿恩公司有限公司,2,0,2,0
中国普伊恩姆伊什埃恩姆阿格拉普公司有限公司,2,0,2,0
中国普伊恩姆伊什埃恩姆阿赫奥勒德伊恩格拉普公司,2,0,2,0
中国普埃尔弗埃克特姆阿奇伊恩埃尔伊伊恩德公司有限公司,2,0,2,0
中国普埃特拉奥奇埃姆伊恩德,2,0,2,0
中国江苏重点奥普埃恩实验室瓦乌德过程瓦乌德布阿斯埃德,2,0,2,0
中国海洋石油信息技术公司有限公司,2,0,2,0
中国海洋石油华东姆克特公司有限公司,2,0,2,0
中国海洋石油华南斯伊石油天然气能源科学院瓦奥尔克斯特,2,0,2,0
中国海洋石油埃恩埃尔特埃奇德拉伊勒勒伊恩普拉奥德,2,0,2,0
中国海洋石油德伊普瓦阿特埃尔德埃维,2,0,2,0
中国海洋石油恩埃克斯埃恩,2,0,2,0
中国海洋石油恩阿恩赫艾伊斯特石油布乌尔,2,0,2,0
中国海洋石油深地斯伊德埃维公司有限公司,2,0,2,0
中国海洋石油石油服务公司有限公司,2,0,2,0
中国海洋石油能源德埃维工程地球物理勘探研究所特埃,2,0,2,0
中国海洋石油能源技术德拉伊勒勒伊恩普拉奥德公司,2,0,2,0
中国海洋石油能源技术服务欧伊勒弗耶勒德工程研究伊恩斯,2,0,2,0
中国特奥布阿克克奥江西伊恩德公司有限公司,2,0,2,0
中国环境普乌布勒伊什伊恩格拉普,2,0,2,0
中国瓦埃斯特克奥恩斯特尔乌克特湖南格拉普公司有限公司,2,0,2,0
中国瓦师范大学,2,0,2,0
中国瓦阿特埃尔环境格拉普公司有限公司,2,0,2,0
中国电力赫瓦奇瓦恩电子技术研究公司有限公司,2,0,2,0
中国电子电力研究研究所有限公司公司,2,0,2,0
中国电子系统工程公司有限公司,2,0,2,0
中国石油公司瓦埃斯特德拉伊勒勒伊恩工程公司有限公司,2,0,2,0
中国石油化工伊恩德联邦,2,0,2,0
中国石油埃克斯普勒奥尔阿特德埃维研究院,2,0,2,0
中国石油埃恩特埃尔普拉伊斯埃阿斯斯奥克,2,0,2,0
中国石油天然气集团东部地球物理公司,2,0,2,0
中国石油天然气集团伊恩特克阿兹阿赫斯特阿恩,2,0,2,0
中国石油天然气集团克克德克德拉伊勒勒伊恩普拉奥德技术研究院,2,0,2,0
中国石油天然气集团勒奥格格伊恩应用研究院,2,0,2,0
中国石油天然气集团德拉伊勒勒伊恩研究研究所公司,2,0,2,0
中国石油天然气集团德阿库伊恩德拉伊勒勒伊恩工程公司,2,0,2,0
中国石油天然气集团斯欧斯瓦埃斯特石油天然气弗耶勒德分院,2,0,2,0
中国石油天然气集团斯欧斯瓦埃斯特石油格阿斯弗耶勒德公司,2,0,2,0
中国石油天然气集团杰伊勒伊恩欧伊勒弗耶勒德公司,2,0,2,0
中国石油天然气集团特埃尔特亚尔伊石油尔埃克奥维埃尔伊重点实验室,2,0,2,0
中国石油天然气集团研究研究所埃克斯普勒奥尔阿特德埃维尔伊普埃德恩奥尔斯瓦埃斯特,2,0,2,0
中国石油天然气集团研究研究所安全&环境技术公司有限公司,2,0,2,0
中国石油天然气集团科学&技术研究研究所,2,0,2,0
中国石油天然气集团重点实验室储库奇阿尔阿克特埃尔伊兹阿特,2,0,2,0
中国石油天然气集团重点实验室国家天然气库阿勒克奥恩特拉奥勒能源姆伊斯乌尔,2,0,2,0
中国石油天然气集团重点实验室地球物理埃克斯普勒奥尔阿特,2,0,2,0
中国石油天然气集团重点实验室尔埃弗奥尔姆阿特石油天然气储层,2,0,2,0
中国石油天然气集团重点实验室布阿斯伊恩斯特尔乌克特赫伊德拉奥克阿尔布奥恩阿克克乌姆乌勒阿特,2,0,2,0
中国石油奇瓦恩库伊恩德拉伊勒勒伊恩工程公司有限公司,2,0,2,0
中国石油工程克奥恩斯特尔乌克特公司青海公司,2,0,2,0
中国石油技术服务公司有限公司,2,0,2,0
中国石油普伊普埃勒伊恩埃布乌尔工程公司有限公司,2,0,2,0
中国研究所瓦阿特埃尔资源赫伊德拉奥普奥瓦埃尔研究伊瓦尔,2,0,2,0
中国研究科学院环境科学,2,0,2,0
