rank_top100,institution_norm,occurrence_count,occurrence_cnki_count,occurrence_wos_count,occurrence_cscd_count,distinct_paper_count,distinct_cnki_paper_count,distinct_wos_paper_count,distinct_cscd_paper_count,first_paper_year,latest_paper_year,active_year_count,avg_annual_paper_count,paper_count_2011_2015,paper_count_2016_2020,paper_count_2021_2025,recent_paper_ratio_2021_2025,total_citations,avg_citations_per_paper,median_citations_per_paper,max_citations,h_index,cited_paper_count,cited_paper_ratio,uncited_paper_count,uncited_paper_ratio,high_cited_paper_count,high_cited_paper_ratio,collaboration_paper_count,collaboration_paper_ratio,partner_institution_count,avg_partner_institutions_per_collab_paper,primary_country_region,international_collaboration_paper_count,international_collaboration_paper_ratio,international_partner_institution_count,partner_country_region_count
79,科廷大学,899,0,893,6,899,0,893,6,2011,2025,15,59.9333,262,387,250,0.2781,17289.0,19.2314,9.0,396.0,61,786,0.8743,113,0.1257,170,0.1891,690,0.7675,503,2.1072,澳大利亚,586,0.6518,428,50
80,伊斯兰阿扎德大学,892,1,889,2,892,1,889,2,2011,2025,15,59.4667,265,350,277,0.3105,12474.0,13.9843,4.0,393.0,53,713,0.7993,179,0.2007,125,0.1401,710,0.796,581,2.2268,伊朗,316,0.3543,367,58
81,南开大学,885,19,860,6,884,18,860,6,2011,2025,15,58.9333,109,175,600,0.6787,14126.0,15.9796,5.0,447.0,57,673,0.7613,211,0.2387,154,0.1742,698,0.7896,582,2.0258,中国,141,0.1595,124,31
82,昆明理工大学,882,18,848,16,879,15,848,16,2011,2025,15,58.6,74,184,621,0.7065,7812.0,8.8874,3.0,179.0,38,621,0.7065,258,0.2935,62,0.0705,582,0.6621,488,1.8557,中国,103,0.1172,85,24
83,昆士兰大学,864,1,863,0,864,1,863,0,2011,2025,15,57.6,173,313,378,0.4375,13203.0,15.2812,7.0,249.0,53,736,0.8519,128,0.1481,125,0.1447,716,0.8287,648,2.4916,澳大利亚,633,0.7326,579,52
84,武汉理工大学,852,24,817,11,850,22,817,11,2011,2025,15,56.6667,82,207,561,0.66,11886.0,13.9835,4.0,292.0,52,654,0.7694,196,0.2306,115,0.1353,682,0.8024,601,2.0381,中国,250,0.2941,194,42
85,高丽大学,827,2,825,0,827,2,825,0,2011,2025,15,55.1333,93,229,505,0.6106,11165.0,13.5006,6.0,276.0,44,643,0.7775,184,0.2225,107,0.1294,712,0.8609,654,2.8188,韩国,330,0.399,451,53
86,东北大学（美国）,814,6,798,10,812,6,796,10,2011,2025,15,54.1333,83,215,514,0.633,8275.0,10.1909,3.0,125.0,43,586,0.7217,226,0.2783,89,0.1096,616,0.7586,542,2.0325,中国,222,0.2734,188,32
87,蒙纳士大学,812,0,811,1,810,0,809,1,2011,2025,15,54.0,238,257,315,0.3889,15551.0,19.1988,8.0,364.0,60,710,0.8765,100,0.1235,151,0.1864,677,0.8358,500,2.0059,澳大利亚,544,0.6716,439,45
88,亚琛工业大学,790,0,790,0,790,0,790,0,2011,2025,15,52.6667,157,342,291,0.3684,13885.0,17.5759,7.0,434.0,56,684,0.8658,106,0.1342,141,0.1785,614,0.7772,571,2.0081,德国,342,0.4329,362,51
