阶段,机构层级,主题编号,主题标签,主题论文数,机构层级文献总数,主题占比
2011-2015,头部引领型,T01,二氧化碳 / 实验 / 注入 / 模拟,868,13957,0.062191
2011-2015,头部引领型,T02,储层 / 孔隙 / 渗透率 / 裂缝,1902,13957,0.136276
2011-2015,头部引领型,T03,油田 / 钻井 / 储层 / 地层,567,13957,0.040625
2011-2015,头部引领型,T04,钻井 / 裂缝 / 水平 / 水力压裂,1719,13957,0.123164
2011-2015,头部引领型,T05,产品 / 催化剂 / 收率 / 汽油,761,13957,0.054525
2011-2015,头部引领型,T06,水合物 / 地层 / 颗粒 / 浓度,745,13957,0.053378
2011-2015,头部引领型,T07,地震 / 速度 / 频率 / 反演,1062,13957,0.076091
2011-2015,头部引领型,T08,储层 / 地震 / 预测 / 测井,1165,13957,0.083471
2011-2015,头部引领型,T09,盆地 / 构造 / 地层 / 沉积,1855,13957,0.132908
2011-2015,头部引领型,T10,岩石 / 成藏 / 储层 / 地层,1266,13957,0.090707
2011-2015,头部引领型,T11,驱替 / 注入 / 储层 / 页岩,1255,13957,0.089919
2011-2015,头部引领型,T12,催化剂 / 地层 / 吸附 / 活性,792,13957,0.056746
2011-2015,中坚创新型,T01,二氧化碳 / 实验 / 注入 / 模拟,387,1730,0.223699
2011-2015,中坚创新型,T02,储层 / 孔隙 / 渗透率 / 裂缝,119,1730,0.068786
2011-2015,中坚创新型,T03,油田 / 钻井 / 储层 / 地层,3,1730,0.001734
2011-2015,中坚创新型,T04,钻井 / 裂缝 / 水平 / 水力压裂,47,1730,0.027168
2011-2015,中坚创新型,T05,产品 / 催化剂 / 收率 / 汽油,123,1730,0.071098
2011-2015,中坚创新型,T06,水合物 / 地层 / 颗粒 / 浓度,169,1730,0.097688
2011-2015,中坚创新型,T07,地震 / 速度 / 频率 / 反演,93,1730,0.053757
2011-2015,中坚创新型,T08,储层 / 地震 / 预测 / 测井,87,1730,0.050289
2011-2015,中坚创新型,T09,盆地 / 构造 / 地层 / 沉积,82,1730,0.047399
2011-2015,中坚创新型,T10,岩石 / 成藏 / 储层 / 地层,47,1730,0.027168
2011-2015,中坚创新型,T11,驱替 / 注入 / 储层 / 页岩,44,1730,0.025434
2011-2015,中坚创新型,T12,催化剂 / 地层 / 吸附 / 活性,529,1730,0.30578
2011-2015,特色细分型,T01,二氧化碳 / 实验 / 注入 / 模拟,387,5987,0.06464
2011-2015,特色细分型,T02,储层 / 孔隙 / 渗透率 / 裂缝,829,5987,0.138467
2011-2015,特色细分型,T03,油田 / 钻井 / 储层 / 地层,317,5987,0.052948
2011-2015,特色细分型,T04,钻井 / 裂缝 / 水平 / 水力压裂,390,5987,0.065141
2011-2015,特色细分型,T05,产品 / 催化剂 / 收率 / 汽油,236,5987,0.039419
2011-2015,特色细分型,T06,水合物 / 地层 / 颗粒 / 浓度,262,5987,0.043761
2011-2015,特色细分型,T07,地震 / 速度 / 频率 / 反演,432,5987,0.072156
2011-2015,特色细分型,T08,储层 / 地震 / 预测 / 测井,529,5987,0.088358
2011-2015,特色细分型,T09,盆地 / 构造 / 地层 / 沉积,1081,5987,0.180558
2011-2015,特色细分型,T10,岩石 / 成藏 / 储层 / 地层,502,5987,0.083848
2011-2015,特色细分型,T11,驱替 / 注入 / 储层 / 页岩,451,5987,0.07533
2011-2015,特色细分型,T12,催化剂 / 地层 / 吸附 / 活性,571,5987,0.095373
2016-2020,头部引领型,T01,储层 / 裂缝 / 渗透率 / 应力,1549,9632,0.160818
2016-2020,头部引领型,T02,盆地 / 断层 / 构造 / 岩石,1238,9632,0.12853
2016-2020,头部引领型,T03,孔隙 / 页岩 / 储层 / 孔隙度,1247,9632,0.129464
2016-2020,头部引领型,T04,钻井 / 水力压裂 / 凝胶 / 储层,687,9632,0.071325
2016-2020,头部引领型,T05,颗粒 / 燃烧 / 灰分 / 实验,521,9632,0.054091
2016-2020,头部引领型,T06,催化剂 / 催化 / 构造 / 活性,960,9632,0.099668
2016-2020,头部引领型,T07,表面活性剂 / 采收率 / 吸附 / 润湿性,317,9632,0.032911
2016-2020,头部引领型,T08,水合物 / 甲烷 / 聚合物 / 实验,447,9632,0.046408
2016-2020,头部引领型,T09,沉积 / 储层 / 碳酸盐岩 / 三角洲,816,9632,0.084718
2016-2020,头部引领型,T10,二氧化碳 / 注入 / 采收率 / 稠油,484,9632,0.050249
