阶段,机构类型,主题编号,主题标签,主题论文数,机构类型文献总数,主题占比
2016-2020,高校/科研院所,T07,盆地 / 断层 / 构造 / 区带,1618,22376,0.07231
2016-2020,高校/科研院所,T08,储层 / 沉积 / 砂岩 / 砂体,1371,22376,0.061271
2016-2020,高校/科研院所,T09,颗粒 / 灰分 / 燃烧 / 三角洲,862,22376,0.038523
2016-2020,高校/科研院所,T10,表面活性剂 / 聚合物 / 黏度 / 浓度,1921,22376,0.085851
2016-2020,企业研发中心,T01,孔隙 / 二氧化碳 / 储层 / 页岩,576,6640,0.086747
2016-2020,企业研发中心,T02,裂缝 / 地震 / 应力 / 速度,873,6640,0.131476
2016-2020,企业研发中心,T03,催化剂 / 产品 / 构造 / 催化,299,6640,0.04503
2016-2020,企业研发中心,T04,页岩 / 有机质 / 盆地 / 样品,644,6640,0.096988
2016-2020,企业研发中心,T05,水合物 / 甲烷 / 沥青质 / 液相,276,6640,0.041566
2016-2020,企业研发中心,T06,储层 / 注入 / 钻井 / 渗透率,1484,6640,0.223494
2016-2020,企业研发中心,T07,盆地 / 断层 / 构造 / 区带,932,6640,0.140361
2016-2020,企业研发中心,T08,储层 / 沉积 / 砂岩 / 砂体,1100,6640,0.165663
2016-2020,企业研发中心,T09,颗粒 / 灰分 / 燃烧 / 三角洲,86,6640,0.012952
2016-2020,企业研发中心,T10,表面活性剂 / 聚合物 / 黏度 / 浓度,370,6640,0.055723
2016-2020,政府机构,T01,孔隙 / 二氧化碳 / 储层 / 页岩,84,562,0.149466
2016-2020,政府机构,T02,裂缝 / 地震 / 应力 / 速度,62,562,0.11032
2016-2020,政府机构,T03,催化剂 / 产品 / 构造 / 催化,65,562,0.115658
2016-2020,政府机构,T04,页岩 / 有机质 / 盆地 / 样品,123,562,0.218861
2016-2020,政府机构,T05,水合物 / 甲烷 / 沥青质 / 液相,74,562,0.131673
2016-2020,政府机构,T06,储层 / 注入 / 钻井 / 渗透率,13,562,0.023132
2016-2020,政府机构,T07,盆地 / 断层 / 构造 / 区带,83,562,0.147687
2016-2020,政府机构,T08,储层 / 沉积 / 砂岩 / 砂体,34,562,0.060498
2016-2020,政府机构,T09,颗粒 / 灰分 / 燃烧 / 三角洲,15,562,0.02669
2016-2020,政府机构,T10,表面活性剂 / 聚合物 / 黏度 / 浓度,9,562,0.016014
2021-2025,高校/科研院所,T01,构造 / 离子 / 材料 / 稳定性,4281,28336,0.15108
2021-2025,高校/科研院所,T02,孔隙 / 页岩 / 储层 / 渗透率,2563,28336,0.09045
2021-2025,高校/科研院所,T03,吸附 / 官能团 / 构造 / 降解,2188,28336,0.077216
2021-2025,高校/科研院所,T04,燃烧 / 氨 / 火焰 / 颗粒,1388,28336,0.048984
2021-2025,高校/科研院所,T05,盆地 / 储层 / 断层 / 构造,2614,28336,0.09225
2021-2025,高校/科研院所,T06,钻井 / 裂缝 / 水力压裂 / 应力,1982,28336,0.069946
2021-2025,高校/科研院所,T07,储层 / 地震 / 模拟 / 裂缝,3285,28336,0.11593
2021-2025,高校/科研院所,T08,热解 / 产品 / 收率 / 生物质,2437,28336,0.086004
2021-2025,高校/科研院所,T09,水合物 / 二氧化碳 / 甲烷 / 储存,1434,28336,0.050607
2021-2025,高校/科研院所,T10,二氧化碳 / 储层 / 采收率 / 注入,2394,28336,0.084486
2021-2025,高校/科研院所,T11,催化剂 / 催化 / 活性 / 二氧化碳,3770,28336,0.133046
2021-2025,企业研发中心,T01,构造 / 离子 / 材料 / 稳定性,42,4357,0.00964
2021-2025,企业研发中心,T02,孔隙 / 页岩 / 储层 / 渗透率,741,4357,0.170071
2021-2025,企业研发中心,T03,吸附 / 官能团 / 构造 / 降解,97,4357,0.022263
2021-2025,企业研发中心,T04,燃烧 / 氨 / 火焰 / 颗粒,52,4357,0.011935
2021-2025,企业研发中心,T05,盆地 / 储层 / 断层 / 构造,947,4357,0.217351
2021-2025,企业研发中心,T06,钻井 / 裂缝 / 水力压裂 / 应力,512,4357,0.117512
2021-2025,企业研发中心,T07,储层 / 地震 / 模拟 / 裂缝,922,4357,0.211613
2021-2025,企业研发中心,T08,热解 / 产品 / 收率 / 生物质,137,4357,0.031444
2021-2025,企业研发中心,T09,水合物 / 二氧化碳 / 甲烷 / 储存,170,4357,0.039018
2021-2025,企业研发中心,T10,二氧化碳 / 储层 / 采收率 / 注入,637,4357,0.146202
2021-2025,企业研发中心,T11,催化剂 / 催化 / 活性 / 二氧化碳,100,4357,0.022952
2021-2025,政府机构,T01,构造 / 离子 / 材料 / 稳定性,40,805,0.049689
2021-2025,政府机构,T02,孔隙 / 页岩 / 储层 / 渗透率,123,805,0.152795
2021-2025,政府机构,T03,吸附 / 官能团 / 构造 / 降解,53,805,0.065839
2021-2025,政府机构,T04,燃烧 / 氨 / 火焰 / 颗粒,11,805,0.013665
2021-2025,政府机构,T05,盆地 / 储层 / 断层 / 构造,205,805,0.254658
2021-2025,政府机构,T06,钻井 / 裂缝 / 水力压裂 / 应力,48,805,0.059627
2021-2025,政府机构,T07,储层 / 地震 / 模拟 / 裂缝,108,805,0.134161
2021-2025,政府机构,T08,热解 / 产品 / 收率 / 生物质,54,805,0.067081
2021-2025,政府机构,T09,水合物 / 二氧化碳 / 甲烷 / 储存,71,805,0.088199
2021-2025,政府机构,T10,二氧化碳 / 储层 / 采收率 / 注入,47,805,0.058385
2021-2025,政府机构,T11,催化剂 / 催化 / 活性 / 二氧化碳,45,805,0.055901
