阶段,机构层级,主题编号,主题标签,主题论文数,机构层级文献总数,主题占比
2011-2015,头部引领型,T01,钻井 / 水力压裂 / 地层 / 水平,1815,13954,0.13007
2011-2015,头部引领型,T02,沉积 / 水合物 / 储层 / 地层,813,13954,0.058263
2011-2015,头部引领型,T03,油田 / 钻井 / 地层 / 储层,566,13954,0.040562
2011-2015,头部引领型,T04,地震 / 频率 / 速度 / 模拟,1275,13954,0.091372
2011-2015,头部引领型,T05,储层 / 孔隙 / 地层 / 碳酸盐岩,685,13954,0.04909
2011-2015,头部引领型,T06,储层 / 页岩 / 页岩气 / 勘探,809,13954,0.057976
2011-2015,头部引领型,T07,地层 / 催化剂 / 二氧化碳 / 颗粒,1326,13954,0.095027
2011-2015,头部引领型,T08,储层 / 渗透率 / 孔隙 / 孔隙度,1790,13954,0.128279
2011-2015,头部引领型,T09,盆地 / 构造 / 断层 / 地层,2207,13954,0.158163
2011-2015,头部引领型,T10,装置 / 催化剂 / 汽油 / 产品,631,13954,0.04522
2011-2015,头部引领型,T11,注入 / 驱替 / 采收率 / 聚合物,1380,13954,0.098896
2011-2015,头部引领型,T12,裂缝 / 储层 / 砂体 / 预测,657,13954,0.047083
2011-2015,中坚创新型,T01,钻井 / 水力压裂 / 地层 / 水平,57,1807,0.031544
2011-2015,中坚创新型,T02,沉积 / 水合物 / 储层 / 地层,41,1807,0.02269
2011-2015,中坚创新型,T03,油田 / 钻井 / 地层 / 储层,3,1807,0.00166
2011-2015,中坚创新型,T04,地震 / 频率 / 速度 / 模拟,171,1807,0.094632
2011-2015,中坚创新型,T05,储层 / 孔隙 / 地层 / 碳酸盐岩,44,1807,0.02435
2011-2015,中坚创新型,T06,储层 / 页岩 / 页岩气 / 勘探,53,1807,0.02933
2011-2015,中坚创新型,T07,地层 / 催化剂 / 二氧化碳 / 颗粒,923,1807,0.510791
2011-2015,中坚创新型,T08,储层 / 渗透率 / 孔隙 / 孔隙度,212,1807,0.117322
2011-2015,中坚创新型,T09,盆地 / 构造 / 断层 / 地层,98,1807,0.054234
2011-2015,中坚创新型,T10,装置 / 催化剂 / 汽油 / 产品,73,1807,0.040398
2011-2015,中坚创新型,T11,注入 / 驱替 / 采收率 / 聚合物,121,1807,0.066962
2011-2015,中坚创新型,T12,裂缝 / 储层 / 砂体 / 预测,11,1807,0.006087
2011-2015,特色细分型,T01,钻井 / 水力压裂 / 地层 / 水平,413,6042,0.068355
2011-2015,特色细分型,T02,沉积 / 水合物 / 储层 / 地层,523,6042,0.086561
2011-2015,特色细分型,T03,油田 / 钻井 / 地层 / 储层,317,6042,0.052466
2011-2015,特色细分型,T04,地震 / 频率 / 速度 / 模拟,579,6042,0.095829
2011-2015,特色细分型,T05,储层 / 孔隙 / 地层 / 碳酸盐岩,497,6042,0.082258
2011-2015,特色细分型,T06,储层 / 页岩 / 页岩气 / 勘探,291,6042,0.048163
2011-2015,特色细分型,T07,地层 / 催化剂 / 二氧化碳 / 颗粒,806,6042,0.1334
2011-2015,特色细分型,T08,储层 / 渗透率 / 孔隙 / 孔隙度,631,6042,0.104436
2011-2015,特色细分型,T09,盆地 / 构造 / 断层 / 地层,1015,6042,0.167991
2011-2015,特色细分型,T10,装置 / 催化剂 / 汽油 / 产品,179,6042,0.029626
2011-2015,特色细分型,T11,注入 / 驱替 / 采收率 / 聚合物,546,6042,0.090367
2011-2015,特色细分型,T12,裂缝 / 储层 / 砂体 / 预测,245,6042,0.040549
2016-2020,头部引领型,T01,孔隙 / 二氧化碳 / 储层 / 页岩,1127,9575,0.117702
2016-2020,头部引领型,T02,裂缝 / 地震 / 应力 / 速度,1283,9575,0.133995
2016-2020,头部引领型,T03,催化剂 / 产品 / 构造 / 催化,1257,9575,0.131279
2016-2020,头部引领型,T04,页岩 / 有机质 / 盆地 / 样品,841,9575,0.087833
