rank_top100,institution_norm,topsis_score,topsis_rank,research_output_subscore,academic_impact_subscore,collaboration_international_subscore,distinct_paper_count,recent_paper_ratio_2021_2025,h_index,high_cited_paper_ratio,collaboration_paper_ratio,international_collaboration_paper_ratio,partner_country_region_count
45,北京理工大学,0.187265,53,0.27787,0.490111,0.454825,1419,0.6124,60,0.1381,0.7569,0.2495,48
52,得克萨斯农工大学,0.185409,54,0.152264,0.381666,0.51847,1206,0.3367,50,0.1136,0.6633,0.427,58
42,印度理工学院,0.184461,55,0.169294,0.53204,0.343684,1564,0.3306,63,0.1496,0.5198,0.2756,60
51,郑州大学,0.184216,56,0.322316,0.465658,0.440953,1273,0.7392,60,0.1273,0.8233,0.1995,38
84,武汉理工大学,0.18037,57,0.266474,0.441392,0.490634,850,0.66,52,0.1353,0.8024,0.2941,42
81,南开大学,0.178668,58,0.276061,0.555952,0.372765,884,0.6787,57,0.1742,0.7896,0.1595,31
39,山东大学,0.17854,59,0.294315,0.445871,0.358814,1571,0.6321,59,0.1209,0.704,0.2011,38
49,南京大学,0.177993,60,0.244275,0.589049,0.389786,1311,0.5454,65,0.1701,0.7956,0.1526,36
80,伊斯兰阿扎德大学,0.174678,61,0.124285,0.457557,0.571623,892,0.3105,53,0.1401,0.796,0.3543,58
91,苏州大学,0.174095,62,0.276702,0.368764,0.470201,761,0.6965,45,0.1196,0.7963,0.2825,39
65,厦门大学,0.171259,63,0.252261,0.423143,0.449808,969,0.6099,53,0.1249,0.7637,0.2683,42
64,广东工业大学,0.170454,64,0.313061,0.331406,0.442003,1018,0.7505,45,0.1031,0.831,0.2161,34
97,东华大学,0.169462,65,0.256501,0.391994,0.413482,734,0.6512,44,0.1322,0.7262,0.2616,40
41,北京大学,0.16806,66,0.247979,0.40204,0.516249,1506,0.5286,55,0.1109,0.9064,0.2012,43
75,广西大学,0.167889,67,0.296323,0.390859,0.38106,900,0.7256,49,0.12,0.7767,0.21,28
33,南京工业大学,0.166084,68,0.274219,0.31664,0.319992,1745,0.5605,52,0.0802,0.6499,0.2235,34
95,德黑兰大学,0.163835,69,0.164337,0.345217,0.50308,742,0.4272,45,0.1092,0.7264,0.3477,53
100,上海大学,0.16366,70,0.259035,0.316509,0.483016,682,0.6642,43,0.1012,0.8196,0.2639,41
54,中山大学,0.163561,71,0.272836,0.378586,0.446415,1183,0.6314,51,0.1099,0.8267,0.1868,41
86,东北大学（美国）,0.161678,72,0.253237,0.335528,0.415879,812,0.633,43,0.1096,0.7586,0.2734,32
26,俄罗斯科学院,0.161565,73,0.208094,0.090648,0.309386,2223,0.3374,34,0.0225,0.5632,0.1682,58
38,太原理工大学,0.161559,74,0.275673,0.273399,0.362966,1649,0.5767,47,0.0728,0.7071,0.2171,36
68,中国教育部,0.161224,75,0.245368,0.394888,0.566294,948,0.596,51,0.1171,0.9968,0.1835,42
71,福州大学,0.161143,76,0.297362,0.317189,0.402195,916,0.726,43,0.1015,0.7969,0.1801,35
34,吉林大学,0.160376,77,0.263995,0.311932,0.360921,1716,0.5396,50,0.0828,0.7051,0.1544,46
72,武汉大学,0.157911,78,0.258607,0.395793,0.379838,902,0.6341,51,0.1175,0.7439,0.1763,40
63,浙江工业大学,0.157099,79,0.254285,0.394481,0.337358,1028,0.607,49,0.1216,0.6955,0.1907,35
18,成都理工大学,0.156723,80,0.173466,0.210277,0.357149,2439,0.2251,45,0.0496,0.8065,0.0841,35
98,北京工业大学,0.156694,81,0.263716,0.376824,0.294203,717,0.6709,44,0.1255,0.6639,0.1883,29
90,江南大学,0.156501,82,0.255961,0.253344,0.384646,765,0.6458,38,0.085,0.6863,0.2719,38
58,北京科技大学,0.155937,83,0.266199,0.271454,0.459582,1119,0.6238,43,0.0813,0.8114,0.2064,45
